id,ended,endedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,idx,idxLastChangedAt
01HNDDC3ZKX6FYDZ3R3RV01ZTR,true,2024-01-30T14:51:32.693482475Z,Round 5 / 9,2024-01-30T14:46:34.739746552Z,true,2024-01-30T14:50:32.530345023Z,4,2024-01-30T14:46:34.739746552Z,2,2024-01-30T14:46:34.84364338Z,Chat,2024-01-30T14:46:34.739746552Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.739746552Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.739746552Z,5,2024-01-30T14:46:34.739746552Z
01HNDDC3ZNDG651XJ90F78VXBF,true,2024-01-30T14:49:35.499289252Z,Round 3 / 9,2024-01-30T14:46:34.741307445Z,true,2024-01-30T14:48:35.341617686Z,2,2024-01-30T14:46:34.741307445Z,2,2024-01-30T14:46:34.800152744Z,Chat,2024-01-30T14:46:34.741307445Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.741307445Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.741307445Z,3,2024-01-30T14:46:34.741307445Z
01HNDDC3ZP5XHHQ6YVBPTK7WZR,true,2024-01-30T14:53:14.99719643Z,Round 7 / 9,2024-01-30T14:46:34.742412308Z,true,2024-01-30T14:52:24.990578899Z,6,2024-01-30T14:46:34.742412308Z,2,2024-01-30T14:46:34.852724675Z,Chat,2024-01-30T14:46:34.742412308Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.742412308Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.742412308Z,7,2024-01-30T14:46:34.742412308Z
01HNDDC3ZQG0M43T9XX30KX534,true,2024-01-30T14:52:24.978497367Z,Round 6 / 9,2024-01-30T14:46:34.74355875Z,true,2024-01-30T14:51:32.711602062Z,5,2024-01-30T14:46:34.74355875Z,2,2024-01-30T14:46:34.846375788Z,Chat,2024-01-30T14:46:34.74355875Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.74355875Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.74355875Z,6,2024-01-30T14:46:34.74355875Z
01HNDDC3ZR21JXMH0N1K7ZXDSM,true,2024-01-30T14:54:01.179448619Z,Round 8 / 9,2024-01-30T14:46:34.744792785Z,true,2024-01-30T14:53:15.015204766Z,7,2024-01-30T14:46:34.744792785Z,2,2024-01-30T14:46:34.940257334Z,Chat,2024-01-30T14:46:34.744792785Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.744792785Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.744792785Z,8,2024-01-30T14:46:34.744792785Z
01HNDDC3ZSPS75EJVTDW7VVF0H,true,2024-01-30T14:54:48.791499882Z,Round 9 / 9,2024-01-30T14:46:34.745969045Z,true,2024-01-30T14:54:01.200138326Z,8,2024-01-30T14:46:34.745969045Z,2,2024-01-30T14:46:34.926634046Z,Chat,2024-01-30T14:46:34.745969045Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.745969045Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.745969045Z,9,2024-01-30T14:46:34.745969045Z
01HNDDDGEN01FWAWHT2VJZSE8R,true,2024-01-30T14:49:03.757886127Z,Round 2 / 9,2024-01-30T14:47:20.27706486Z,true,2024-01-30T14:48:03.609973051Z,1,2024-01-30T14:47:20.27706486Z,2,2024-01-30T14:47:20.340460471Z,Chat,2024-01-30T14:47:20.27706486Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.27706486Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.27706486Z,2,2024-01-30T14:47:20.27706486Z
01HNDDDGEPFDERF7DAPXSFFSW0,true,2024-01-30T14:50:03.933585412Z,Round 3 / 9,2024-01-30T14:47:20.278805824Z,true,2024-01-30T14:49:03.771947805Z,2,2024-01-30T14:47:20.278805824Z,2,2024-01-30T14:47:20.360936855Z,Chat,2024-01-30T14:47:20.278805824Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.278805824Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.278805824Z,3,2024-01-30T14:47:20.278805824Z
01HNDDDGERVAQB2YJC1592D0K7,true,2024-01-30T14:54:11.649498559Z,Round 9 / 9,2024-01-30T14:47:20.280225165Z,true,2024-01-30T14:53:30.593914908Z,8,2024-01-30T14:47:20.280225165Z,2,2024-01-30T14:47:20.350372824Z,Chat,2024-01-30T14:47:20.280225165Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.280225165Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.280225165Z,9,2024-01-30T14:47:20.280225165Z
01HNDDDGESCH8S7F8NCZZNGKNA,true,2024-01-30T14:48:03.596980178Z,Round 1 / 9,2024-01-30T14:47:20.28153164Z,true,2024-01-30T14:47:20.549869219Z,0,2024-01-30T14:47:20.28153164Z,2,2024-01-30T14:47:20.485334167Z,Chat,2024-01-30T14:47:20.28153164Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.28153164Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.28153164Z,1,2024-01-30T14:47:20.28153164Z
01HNDDDGEVBXBKZEV9JSQJ3WYT,true,2024-01-30T14:50:47.601755691Z,Round 4 / 9,2024-01-30T14:47:20.283186735Z,true,2024-01-30T14:50:03.947638696Z,3,2024-01-30T14:47:20.283186735Z,2,2024-01-30T14:47:20.379656918Z,Chat,2024-01-30T14:47:20.283186735Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.283186735Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.283186735Z,4,2024-01-30T14:47:20.283186735Z
01HNDDDGEWABS0G3G0MG01MT44,true,2024-01-30T14:52:03.965937957Z,Round 6 / 9,2024-01-30T14:47:20.284533789Z,true,2024-01-30T14:51:26.259186454Z,5,2024-01-30T14:47:20.284533789Z,2,2024-01-30T14:47:20.523106519Z,Chat,2024-01-30T14:47:20.284533789Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.284533789Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.284533789Z,6,2024-01-30T14:47:20.284533789Z
01HNDDDGEZTRN00FS253PHKDRC,true,2024-01-30T14:51:26.246047025Z,Round 5 / 9,2024-01-30T14:47:20.287390472Z,true,2024-01-30T14:50:47.616852368Z,4,2024-01-30T14:47:20.287390472Z,2,2024-01-30T14:47:20.420175248Z,Chat,2024-01-30T14:47:20.287390472Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.287390472Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.287390472Z,5,2024-01-30T14:47:20.287390472Z
01HNDDDGF077J2G7JHJV9K5GFF,true,2024-01-30T14:52:43.775288377Z,Round 7 / 9,2024-01-30T14:47:20.288813327Z,true,2024-01-30T14:52:03.98601407Z,6,2024-01-30T14:47:20.288813327Z,2,2024-01-30T14:47:20.517052762Z,Chat,2024-01-30T14:47:20.288813327Z,01HNDD7D7YVCA989M8KQ7VZEP8,2024-01-30T14:47:20.288813327Z,01HNDD7D7K1SB8JVBQNAXA59EA,2024-01-30T14:47:20.288813327Z,7,2024-01-30T14:47:20.288813327Z
