id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW6G1WPXXKA140YHFT6BBQ6N,01HW6FVT7Y8W26ANXTHKQNDNF2,2024-04-23T22:08:37.085544921Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:08:37.085544921Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:37.085544921Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:37.085544921Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:37.085544921Z,22,2024-04-23T22:08:52.715512622Z,63,2024-04-23T22:08:52.710530206Z,true,2024-04-23T22:08:52.712926705Z
01HW6G2Q71R0P4KZ8G39VV4N1S,01HW6FVTDKY5Y407EFK90QQ781,2024-04-23T22:09:04.225610203Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:09:04.225610203Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:04.225610203Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:04.225610203Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:04.225610203Z,,,,,,
01HW6G2Q792RMTXRFZSV7W1VG2,01HW6FVTDKY5Y407EFK90QQ781,2024-04-23T22:09:04.233396945Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:09:04.233396945Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:04.233396945Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:04.233396945Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:04.233396945Z,,,,,,
01HW6G2Q7FZYV62M1Y5K7Z6W09,01HW6FVTDKY5Y407EFK90QQ781,2024-04-23T22:09:04.239774894Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:09:04.239774894Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:04.239774894Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:04.239774894Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:04.239774894Z,,,,,,
01HW6G2Q7PM6AQT7SX66P5ET99,01HW6FVTDKY5Y407EFK90QQ781,2024-04-23T22:09:04.246139464Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:09:04.246139464Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:04.246139464Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:04.246139464Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:04.246139464Z,,,,,,
01HW6G3MJSNPTKHX5KJH2KGRME,01HW6FVTDKY5Y407EFKZCJFJ3C,2024-04-23T22:09:34.297368391Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:09:34.297368391Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:34.297368391Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:34.297368391Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:34.297368391Z,27,2024-04-23T22:09:41.98777927Z,80,2024-04-23T22:09:41.990806688Z,true,2024-04-23T22:09:41.992298583Z
01HW6G3MJYQ35B3YVGSK8QNRVE,01HW6FVTDKY5Y407EFKZCJFJ3C,2024-04-23T22:09:34.302258562Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:09:34.302258562Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:34.302258562Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:34.302258562Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:34.302258562Z,,,,,,
01HW6G3MK3RWAJFF5BBZ7QEYJ2,01HW6FVTDKY5Y407EFKZCJFJ3C,2024-04-23T22:09:34.307182421Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:09:34.307182421Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:34.307182421Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:34.307182421Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:34.307182421Z,0,2024-04-23T22:09:47.809095867Z,94,2024-04-23T22:09:48.079701451Z,true,2024-04-23T22:09:48.098223627Z
01HW6G3MK81D6VR880KM1DJE80,01HW6FVTDKY5Y407EFKZCJFJ3C,2024-04-23T22:09:34.312627267Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:09:34.312627267Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:09:34.312627267Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:09:34.312627267Z,01HW6FVT4HZMF0DVZHMQPES40C,2024-04-23T22:09:34.312627267Z,13,2024-04-23T22:09:43.129175436Z,80,2024-04-23T22:09:43.126438475Z,true,2024-04-23T22:09:43.124378959Z
01HW6G4J06VFKV56VVC4XJNYTW,01HW6FVTH0XDM672YCJH67GNN8,2024-04-23T22:10:04.422715987Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:10:04.422715987Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:10:04.422715987Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:10:04.422715987Z,01HW6FVT4G23C3W9JC52FRS5NT,2024-04-23T22:10:04.422715987Z,,,,,,
