id,ended,endedLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,task,taskLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt
01HW3PX9CZ9481E2DQW5HE8XDD,true,2024-04-22T20:11:39.949209259Z,1,2024-04-22T20:10:42.975104945Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.975104945Z,Chat,2024-04-22T20:10:42.975104945Z,1,2024-04-22T20:10:43.091944246Z,Round 2 / 12,2024-04-22T20:10:42.975104945Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.975104945Z,true,2024-04-22T20:11:13.47105212Z,2,2024-04-22T20:10:42.975104945Z
01HW3PX9D0KGVWXVY43MNVYYBF,true,2024-04-22T20:12:05.550666917Z,2,2024-04-22T20:10:42.976081389Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.976081389Z,Chat,2024-04-22T20:10:42.976081389Z,1,2024-04-22T20:10:43.090220141Z,Round 3 / 12,2024-04-22T20:10:42.976081389Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.976081389Z,true,2024-04-22T20:11:39.96345989Z,3,2024-04-22T20:10:42.976081389Z
01HW3PX9D26SNN1G95RN68R05C,true,2024-04-22T20:14:50.654915919Z,11,2024-04-22T20:10:42.978471153Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.978471153Z,Chat,2024-04-22T20:10:42.978471153Z,1,2024-04-22T20:10:43.225955115Z,Round 12 / 12,2024-04-22T20:10:42.978471153Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.978471153Z,true,2024-04-22T20:14:37.642706845Z,12,2024-04-22T20:10:42.978471153Z
01HW3PX9D3GKHX52P20A3NM86T,true,2024-04-22T20:14:37.63135596Z,10,2024-04-22T20:10:42.97948163Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.97948163Z,Chat,2024-04-22T20:10:42.97948163Z,1,2024-04-22T20:10:43.105301733Z,Round 11 / 12,2024-04-22T20:10:42.97948163Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.97948163Z,true,2024-04-22T20:14:24.795759427Z,11,2024-04-22T20:10:42.97948163Z
01HW3PX9D5TZN1A9Q4T9P323XZ,true,2024-04-22T20:14:24.771444572Z,9,2024-04-22T20:10:42.981270872Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.981270872Z,Chat,2024-04-22T20:10:42.981270872Z,1,2024-04-22T20:10:43.105301733Z,Round 10 / 12,2024-04-22T20:10:42.981270872Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.981270872Z,true,2024-04-22T20:14:12.222113117Z,10,2024-04-22T20:10:42.981270872Z
01HW3PX9D6G3PQ2FA3M7AW66V1,true,2024-04-22T20:14:12.20759476Z,8,2024-04-22T20:10:42.982287621Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.982287621Z,Chat,2024-04-22T20:10:42.982287621Z,1,2024-04-22T20:10:43.105301733Z,Round 9 / 12,2024-04-22T20:10:42.982287621Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.982287621Z,true,2024-04-22T20:13:58.572321415Z,9,2024-04-22T20:10:42.982287621Z
01HW3PX9D7CM8PF2JXKZFNXM6A,true,2024-04-22T20:12:50.373435418Z,4,2024-04-22T20:10:42.983102964Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.983102964Z,Chat,2024-04-22T20:10:42.983102964Z,1,2024-04-22T20:10:43.120975342Z,Round 5 / 12,2024-04-22T20:10:42.983102964Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.983102964Z,true,2024-04-22T20:12:29.887006067Z,5,2024-04-22T20:10:42.983102964Z
01HW3PX9D92ZS6TDQ0R77ATGGS,true,2024-04-22T20:13:32.196907959Z,6,2024-04-22T20:10:42.985773683Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.985773683Z,Chat,2024-04-22T20:10:42.985773683Z,1,2024-04-22T20:10:43.114999445Z,Round 7 / 12,2024-04-22T20:10:42.985773683Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.985773683Z,true,2024-04-22T20:13:10.678552138Z,7,2024-04-22T20:10:42.985773683Z
01HW3PX9DA4T13WTQ0PWH55CG6,true,2024-04-22T20:13:58.561300478Z,7,2024-04-22T20:10:42.986694653Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.986694653Z,Chat,2024-04-22T20:10:42.986694653Z,1,2024-04-22T20:10:43.105301733Z,Round 8 / 12,2024-04-22T20:10:42.986694653Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.986694653Z,true,2024-04-22T20:13:32.213247151Z,8,2024-04-22T20:10:42.986694653Z
01HW3PX9DBKYFFDQJ6NXD4GP2R,true,2024-04-22T20:12:29.869360199Z,3,2024-04-22T20:10:42.987650682Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.987650682Z,Chat,2024-04-22T20:10:42.987650682Z,1,2024-04-22T20:10:43.221278282Z,Round 4 / 12,2024-04-22T20:10:42.987650682Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.987650682Z,true,2024-04-22T20:12:05.580543775Z,4,2024-04-22T20:10:42.987650682Z
