gameID,players,total_nRabbits,total_nSquirrels,mleGame,total_nCritters,entropy,representation
10,"[{""playerID"": 39, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 39, ""nRabbits"": 2, ""nSquirrels"": 2}, {""playerID"": 39, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 39, ""nRabbits"": 5, ""nSquirrels"": 6}]",10,9,0.5263157894736842,19,0.6917614988524178,0.27452153110047844
10,"[{""playerID"": 40, ""nRabbits"": 11, ""nSquirrels"": 3}, {""playerID"": 40, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 40, ""nRabbits"": 2, ""nSquirrels"": 3}, {""playerID"": 40, ""nRabbits"": 2, ""nSquirrels"": 1}]",15,8,0.6521739130434783,23,0.6460905050608089,0.26309523809523805
11,"[{""playerID"": 41, ""nRabbits"": 8, ""nSquirrels"": 2}, {""playerID"": 41, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 41, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 41, ""nRabbits"": 5, ""nSquirrels"": 1}]",17,3,0.85,20,0.42270908780599087,0.09166666666666665
11,"[{""playerID"": 42, ""nRabbits"": 3, ""nSquirrels"": 2}, {""playerID"": 42, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 42, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 42, ""nRabbits"": 1, ""nSquirrels"": 0}]",6,2,0.75,8,0.5623351446188083,0.225
11,"[{""playerID"": 43, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 43, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 43, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 43, ""nRabbits"": 19, ""nSquirrels"": 4}]",20,7,0.7407407407407407,27,0.5722806988018472,0.45189210950080516
11,"[{""playerID"": 44, ""nRabbits"": 8, ""nSquirrels"": 0}, {""playerID"": 44, ""nRabbits"": 17, ""nSquirrels"": 1}, {""playerID"": 44, ""nRabbits"": 5, ""nSquirrels"": 0}, {""playerID"": 44, ""nRabbits"": 4, ""nSquirrels"": 1}]",34,2,0.9444444444444444,36,0.2145591551764051,0.06388888888888888
12,"[{""playerID"": 45, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 45, ""nRabbits"": 5, ""nSquirrels"": 0}, {""playerID"": 45, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 45, ""nRabbits"": 2, ""nSquirrels"": 3}]",10,4,0.7142857142857143,14,0.5982695885852573,0.275
12,"[{""playerID"": 46, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 46, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 46, ""nRabbits"": 4, ""nSquirrels"": 3}, {""playerID"": 46, ""nRabbits"": 3, ""nSquirrels"": 0}]",11,4,0.7333333333333333,15,0.5799151714181009,0.3571428571428571
12,"[{""playerID"": 47, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 47, ""nRabbits"": 5, ""nSquirrels"": 1}, {""playerID"": 47, ""nRabbits"": 3, ""nSquirrels"": 3}, {""playerID"": 47, ""nRabbits"": 3, ""nSquirrels"": 0}]",12,5,0.7058823529411765,17,0.605797499372304,0.20833333333333334
12,"[{""playerID"": 48, ""nRabbits"": 6, ""nSquirrels"": 0}, {""playerID"": 48, ""nRabbits"": 12, ""nSquirrels"": 2}, {""playerID"": 48, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 48, ""nRabbits"": 2, ""nSquirrels"": 0}]",22,2,0.9166666666666666,24,0.2868359830561607,0.07738095238095241
13,"[{""playerID"": 49, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 49, ""nRabbits"": 2, ""nSquirrels"": 2}, {""playerID"": 49, ""nRabbits"": 4, ""nSquirrels"": 2}, {""playerID"": 49, ""nRabbits"": 4, ""nSquirrels"": 3}]",11,8,0.5789473684210527,19,0.6806294878916634,0.06328320802005014
13,"[{""playerID"": 50, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 50, ""nRabbits"": 3, ""nSquirrels"": 1}, {""playerID"": 50, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 50, ""nRabbits"": 4, ""nSquirrels"": 2}]",12,3,0.8,15,0.5004024235381879,0.14583333333333334
13,"[{""playerID"": 51, ""nRabbits"": 6, ""nSquirrels"": 2}, {""playerID"": 51, ""nRabbits"": 0, ""nSquirrels"": 2}, {""playerID"": 51, ""nRabbits"": 4, ""nSquirrels"": 0}, {""playerID"": 51, ""nRabbits"": 3, ""nSquirrels"": 3}]",13,7,0.65,20,0.6474466390346325,0.3125
13,"[{""playerID"": 52, ""nRabbits"": 4, ""nSquirrels"": 1}, {""playerID"": 52, ""nRabbits"": 19, ""nSquirrels"": 1}, {""playerID"": 52, ""nRabbits"": 17, ""nSquirrels"": 2}, {""playerID"": 52, ""nRabbits"": 1, ""nSquirrels"": 0}]",41,4,0.9111111111111111,45,0.2999595524512935,0.06381578947368419
