id,ended,endedLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt
01HW3DPGG1ZS925ZJFF0FMWJNK,true,2024-04-22T17:38:25.780658263Z,9,2024-04-22T17:29:43.681312656Z,8,2024-04-22T17:29:43.681312656Z,true,2024-04-22T17:37:45.878537401Z,2,2024-04-22T17:29:43.820242551Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.681312656Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.681312656Z,Round 9 / 12,2024-04-22T17:29:43.681312656Z,Chat,2024-04-22T17:29:43.681312656Z
01HW3DPGG1ZS925ZJFFNCYZRCP,true,2024-04-22T17:36:45.69142976Z,7,2024-04-22T17:29:43.681830342Z,6,2024-04-22T17:29:43.681830342Z,true,2024-04-22T17:35:45.492281404Z,2,2024-04-22T17:29:43.817576691Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.681830342Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.681830342Z,Round 7 / 12,2024-04-22T17:29:43.681830342Z,Chat,2024-04-22T17:29:43.681830342Z
01HW3DPGG2SGK6AEYJG0ZV6Y28,true,2024-04-22T17:41:14.676777673Z,12,2024-04-22T17:29:43.682487399Z,11,2024-04-22T17:29:43.682487399Z,true,2024-04-22T17:40:14.501818069Z,2,2024-04-22T17:29:43.862185073Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.682487399Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.682487399Z,Round 12 / 12,2024-04-22T17:29:43.682487399Z,Chat,2024-04-22T17:29:43.682487399Z
01HW3DPGG3CVJKA31ZHSE9R2S9,true,2024-04-22T17:37:45.863566134Z,8,2024-04-22T17:29:43.683071887Z,7,2024-04-22T17:29:43.683071887Z,true,2024-04-22T17:36:45.702001403Z,2,2024-04-22T17:29:43.848787238Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.683071887Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.683071887Z,Round 8 / 12,2024-04-22T17:29:43.683071887Z,Chat,2024-04-22T17:29:43.683071887Z
01HW3DPGG3CVJKA31ZJD70YK8T,true,2024-04-22T17:35:45.479420068Z,6,2024-04-22T17:29:43.683771352Z,5,2024-04-22T17:29:43.683771352Z,true,2024-04-22T17:34:45.287390061Z,2,2024-04-22T17:29:43.932322984Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.683771352Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.683771352Z,Round 6 / 12,2024-04-22T17:29:43.683771352Z,Chat,2024-04-22T17:29:43.683771352Z
01HW3FJ9X3P305PDG3P461KE3T,true,2024-04-22T18:03:23.762146525Z,1,2024-04-22T18:02:23.01164021Z,0,2024-04-22T18:02:23.01164021Z,true,2024-04-22T18:02:23.363437729Z,2,2024-04-22T18:02:23.240965538Z,01HW3F1JCZ21S8AA1411ZE03N6,2024-04-22T18:02:23.01164021Z,01HW3F1JCRW3AZ9CG97D55F2CM,2024-04-22T18:02:23.01164021Z,Round 1 / 12,2024-04-22T18:02:23.01164021Z,Chat,2024-04-22T18:02:23.01164021Z
01HW3FJ9X5MZX2GH7PWZPS5YFE,true,2024-04-22T18:04:58.897331384Z,3,2024-04-22T18:02:23.0139696Z,2,2024-04-22T18:02:23.0139696Z,true,2024-04-22T18:04:14.175977336Z,2,2024-04-22T18:02:23.275390796Z,01HW3F1JCZ21S8AA1411ZE03N6,2024-04-22T18:02:23.0139696Z,01HW3F1JCRW3AZ9CG97D55F2CM,2024-04-22T18:02:23.0139696Z,Round 3 / 12,2024-04-22T18:02:23.0139696Z,Chat,2024-04-22T18:02:23.0139696Z
01HW3FJ9X6QVARAPPENSFK0XNE,true,2024-04-22T18:04:14.164100413Z,2,2024-04-22T18:02:23.014796734Z,1,2024-04-22T18:02:23.014796734Z,true,2024-04-22T18:03:23.776902248Z,2,2024-04-22T18:02:23.268964395Z,01HW3F1JCZ21S8AA1411ZE03N6,2024-04-22T18:02:23.014796734Z,01HW3F1JCRW3AZ9CG97D55F2CM,2024-04-22T18:02:23.014796734Z,Round 2 / 12,2024-04-22T18:02:23.014796734Z,Chat,2024-04-22T18:02:23.014796734Z
01HW3FJ9X79M318WP7MFXB6QVE,true,2024-04-22T18:05:50.915580686Z,4,2024-04-22T18:02:23.015665589Z,3,2024-04-22T18:02:23.015665589Z,true,2024-04-22T18:04:58.908096548Z,2,2024-04-22T18:02:23.273951163Z,01HW3F1JCZ21S8AA1411ZE03N6,2024-04-22T18:02:23.015665589Z,01HW3F1JCRW3AZ9CG97D55F2CM,2024-04-22T18:02:23.015665589Z,Round 4 / 12,2024-04-22T18:02:23.015665589Z,Chat,2024-04-22T18:02:23.015665589Z
01HW3FJ9X8JWFRCTZYPSXM623S,true,2024-04-22T18:06:42.722031399Z,5,2024-04-22T18:02:23.016691233Z,4,2024-04-22T18:02:23.016691233Z,true,2024-04-22T18:05:50.926688622Z,2,2024-04-22T18:02:23.275390796Z,01HW3F1JCZ21S8AA1411ZE03N6,2024-04-22T18:02:23.016691233Z,01HW3F1JCRW3AZ9CG97D55F2CM,2024-04-22T18:02:23.016691233Z,Round 5 / 12,2024-04-22T18:02:23.016691233Z,Chat,2024-04-22T18:02:23.016691233Z
