id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HVSDPGF12P0VES0CSWDBJGKZ,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.329241049Z,01HVSDF9Q1NX6M632F4ZAVKFWB,2024-04-18T20:17:19.329241049Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.329241049Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.329241049Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.329241049Z,,,,,,
01HVSDPGF59SPDEFNKWQ5C4KSY,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.333930898Z,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:17:19.333930898Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.333930898Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.333930898Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.333930898Z,,,,,,
01HVSDPGFBCB1JQVQ6C739MZJ4,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.339260686Z,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:17:19.339260686Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.339260686Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.339260686Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.339260686Z,,,,,,
01HVSDQDTD9BZQN541CPY7E1S7,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.38964125Z,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:17:49.38964125Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.38964125Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.38964125Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.38964125Z,true,2024-04-18T20:18:00.91869708Z,32,2024-04-18T20:18:00.919336067Z,70,2024-04-18T20:18:00.917319269Z
01HVSDQDTJFPAR6BA87TX7D9JC,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.394926788Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:17:49.394926788Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.394926788Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.394926788Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.394926788Z,,,,,,
01HVSDQDTSY7MJXBMMYJS8SZHE,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.401673022Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:17:49.401673022Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.401673022Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.401673022Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.401673022Z,true,2024-04-18T20:17:58.051059948Z,26,2024-04-18T20:17:58.05010746Z,78,2024-04-18T20:17:58.052025997Z
01HVSDQDV0EJR1Q538D57K5C51,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.408842627Z,01HVSDEP9426S7Y9TDP0DD75DT,2024-04-18T20:17:49.408842627Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.408842627Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.408842627Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.408842627Z,,,,,,
01HVSDQDV6HJ7T5ZS7R7VD2WW8,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.414385953Z,01HVSDF9Q1NX6M632F4ZAVKFWB,2024-04-18T20:17:49.414385953Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.414385953Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.414385953Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.414385953Z,,,,,,
01HVSDQDVCDREJP635AM15RX4T,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.420329311Z,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:17:49.420329311Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.420329311Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.420329311Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.420329311Z,,,,,,
01HVSDQDVGX9FF0X0W6178KBZW,01HVSDK3H295YTSWRFK5SBHC4W,2024-04-18T20:17:49.424972115Z,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:17:49.424972115Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:49.424972115Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:49.424972115Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:49.424972115Z,,,,,,
