gameID,roundID,playerID,guess,confidence,idx,treatmentName,nSquirrels,nRabbits,batch,nRabbitsGame,nSquirrelsGame,mleEstimateIndiv,mleEstimateGame
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KECQ3D5RXCWAKSTHDRM1X,79,81,3,rerun-unidirectional- 0.7,2,4,1_prereg_6,28,12,66,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KHDTFDH4JH3VM2RFWZ1SE,64,74,3,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KHF5ATAXYDCJZA3FZGYVV,61,9,3,rerun-unidirectional- 0.7,1,6,1_prereg_6,28,12,85,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KF4D2KZ48C4KJH49KG9J9,50,82,4,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KFHAR108RR4VGXGZ7KEN3,72,78,4,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KFMTG67YW55T084A987ND,98,98,4,rerun-unidirectional- 0.7,2,6,1_prereg_6,28,12,75,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KG11AF4BKYPX1QCK1307C,88,50,4,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6JZ0JJGYAVP0QSJG75XNBJ,NA,NA,11,rerun-unidirectional- 0.7,3,8,1_prereg_6,28,12,72,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6JZE4P1BDZKZJCQCSA3H2J,NA,NA,11,rerun-unidirectional- 0.7,1,2,1_prereg_6,28,12,66,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6K1TECRQS9FG36R64ZEZAK,NA,NA,11,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9NPT2Z2J8XJ3DEW2H37D,01HW6K2AZASD95CV8SG08TEHNQ,NA,NA,11,rerun-unidirectional- 0.7,1,1,1_prereg_6,28,12,50,70
