"gameID","playerID","idx","participantID","text","recipient","sender"
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",7,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",3,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",6,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",1,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",7,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",3,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",6,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",1,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",4,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",2,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",8,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D86DCXGKW395VYVWH2ZGS",5,"01JD3D868NDP6D79FJKAME1ZW6",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",7,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",3,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",8,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",2,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D878K5Y4DATEWT4YNZFYQ",5,"01JD3D8705305G568EFPSFMH1D",<chr>,<chr>,<df[,3]>
