id,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HN8X3B5EFZ6PT4TA3EW6GDZS,01HN8WWPMZW3EB9T9KD3DGEP9D,2024-01-28T20:45:12.238725399Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:12.238725399Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:12.238725399Z,01HN8X3AWMVFM36TT1AY3TTX4J,2024-01-28T20:45:12.238725399Z,01HN8X3AYY2DYP4MYKEE3N2ZM4,2024-01-28T20:45:12.238725399Z,true,2024-01-28T20:45:36.856899784Z,64,2024-01-28T20:45:36.851618212Z
01HN8X3B5FGAS18497R0B149GK,01HN8X1D7F07ZPSDRJP27M2VZN,2024-01-28T20:45:12.239780437Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:12.239780437Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:12.239780437Z,01HN8X3AWMVFM36TT1AY3TTX4J,2024-01-28T20:45:12.239780437Z,01HN8X3AYY2DYP4MYKEE3N2ZM4,2024-01-28T20:45:12.239780437Z,true,2024-01-28T20:45:28.508979545Z,0,2024-01-28T20:45:28.501667676Z
01HN8X3ZEFFEP4GMVQGVJPCZMQ,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:45:33.007430398Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:33.007430398Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:33.007430398Z,01HN8WZHCJ6J7PD5Z73FX14P39,2024-01-28T20:45:33.007430398Z,01HN8WZHJ3MFF79T8JBEE397JR,2024-01-28T20:45:33.007430398Z,true,2024-01-28T20:45:54.45842792Z,85,2024-01-28T20:45:54.456152631Z
01HN8X3ZEGF4BF3NFZTV0HVZSF,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:45:33.008512631Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:33.008512631Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:33.008512631Z,01HN8WZHCJ6J7PD5Z73FX14P39,2024-01-28T20:45:33.008512631Z,01HN8WZHJ3MFF79T8JBEE397JR,2024-01-28T20:45:33.008512631Z,true,2024-01-28T20:45:52.989249621Z,90,2024-01-28T20:45:52.986642222Z
01HN8X3ZEHNF9JQCGNBCX7M68K,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:45:33.009719928Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:33.009719928Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:33.009719928Z,01HN8WZHCJ6J7PD5Z73FX14P39,2024-01-28T20:45:33.009719928Z,01HN8WZHJ3MFF79T8JBEE397JR,2024-01-28T20:45:33.009719928Z,,,,
01HN8X3ZEJNNVS8KQ83TZGJPHE,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:45:33.01063207Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:33.01063207Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:33.01063207Z,01HN8WZHCJ6J7PD5Z73FX14P39,2024-01-28T20:45:33.01063207Z,01HN8WZHJ3MFF79T8JBEE397JR,2024-01-28T20:45:33.01063207Z,true,2024-01-28T20:45:51.244497798Z,85,2024-01-28T20:45:51.243158497Z
01HN8X453SBT3WBXSNGAGM7QGG,01HN8WFS0FP014KCJK7JJDSJQP,2024-01-28T20:45:38.810032252Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:38.810032252Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:38.810032252Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:38.810032252Z,01HN8X1CT5RH6WG2XJZ2HEK832,2024-01-28T20:45:38.810032252Z,true,2024-01-28T20:45:46.986099126Z,80,2024-01-28T20:45:46.987297699Z
01HN8X453V43M0MSMVQK27K382,01HN8WWNZQ0VB9XQN3V18JVK1F,2024-01-28T20:45:38.811365545Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:38.811365545Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:38.811365545Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:38.811365545Z,01HN8X1CT5RH6WG2XJZ2HEK832,2024-01-28T20:45:38.811365545Z,true,2024-01-28T20:45:49.375498784Z,75,2024-01-28T20:45:49.374265114Z
01HN8X453W24BX0HJ2GHYPZH90,01HN8WVXFEX730WAJDDJWD9D7C,2024-01-28T20:45:38.812541311Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:38.812541311Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:38.812541311Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:38.812541311Z,01HN8X1CT5RH6WG2XJZ2HEK832,2024-01-28T20:45:38.812541311Z,true,2024-01-28T20:45:42.891378116Z,100,2024-01-28T20:45:42.889294736Z
01HN8X453X96P4QFAPWYSBBTZB,01HN8WQEJZRX09DPVACEVBQB5A,2024-01-28T20:45:38.813690037Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:38.813690037Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:38.813690037Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:38.813690037Z,01HN8X1CT5RH6WG2XJZ2HEK832,2024-01-28T20:45:38.813690037Z,,,,
