id,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt
01HVSDZMHKFK7Q2FDQ855JB6YN,9,2024-04-18T20:22:18.419720937Z,Chat,2024-04-18T20:22:18.419720937Z,8,2024-04-18T20:22:18.419720937Z,2,2024-04-18T20:22:18.671790237Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.419720937Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.419720937Z,Round 9 / 12,2024-04-18T20:22:18.419720937Z,true,2024-04-18T20:28:37.864340873Z,true,2024-04-18T20:29:18.451237336Z
01HVSDZMHMDGR0MB3QT61SRQZY,11,2024-04-18T20:22:18.420844692Z,Chat,2024-04-18T20:22:18.420844692Z,10,2024-04-18T20:22:18.420844692Z,2,2024-04-18T20:22:18.674588934Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.420844692Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.420844692Z,Round 11 / 12,2024-04-18T20:22:18.420844692Z,true,2024-04-18T20:30:00.333593311Z,true,2024-04-18T20:30:41.35349259Z
01HVSDZMHND2WHP36R6W2RNDVK,7,2024-04-18T20:22:18.421828438Z,Chat,2024-04-18T20:22:18.421828438Z,6,2024-04-18T20:22:18.421828438Z,2,2024-04-18T20:22:18.613956572Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.421828438Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.421828438Z,Round 7 / 12,2024-04-18T20:22:18.421828438Z,true,2024-04-18T20:27:09.856385913Z,true,2024-04-18T20:27:51.549844807Z
01HVSDZMHPA866HSEKKCVMVE5P,10,2024-04-18T20:22:18.422897003Z,Chat,2024-04-18T20:22:18.422897003Z,9,2024-04-18T20:22:18.422897003Z,2,2024-04-18T20:22:18.617843455Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.422897003Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.422897003Z,Round 10 / 12,2024-04-18T20:22:18.422897003Z,true,2024-04-18T20:29:18.478064862Z,true,2024-04-18T20:30:00.313991458Z
01HVSDZMHTPVM0F9XT7SS1H5WH,12,2024-04-18T20:22:18.427009556Z,Chat,2024-04-18T20:22:18.427009556Z,11,2024-04-18T20:22:18.427009556Z,2,2024-04-18T20:22:18.693587049Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.427009556Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.427009556Z,Round 12 / 12,2024-04-18T20:22:18.427009556Z,true,2024-04-18T20:30:41.386188766Z,true,2024-04-18T20:31:25.690672922Z
01HVSE0Q2XGX9NP639P8BJSHAY,1,2024-04-18T20:22:53.78929044Z,Chat,2024-04-18T20:22:53.78929044Z,0,2024-04-18T20:22:53.78929044Z,2,2024-04-18T20:22:53.866246753Z,01HVSD1J1Q1BKW919ST5G6J03S,2024-04-18T20:22:53.78929044Z,01HVSD1J1C9YS9RAYF54ZXNR5N,2024-04-18T20:22:53.78929044Z,Round 1 / 12,2024-04-18T20:22:53.78929044Z,true,2024-04-18T20:22:54.156153908Z,true,2024-04-18T20:23:54.559041643Z
01HVSE0Q2YRB4XQ3WNT8E8M399,4,2024-04-18T20:22:53.790834398Z,Chat,2024-04-18T20:22:53.790834398Z,3,2024-04-18T20:22:53.790834398Z,2,2024-04-18T20:22:53.907494244Z,01HVSD1J1Q1BKW919ST5G6J03S,2024-04-18T20:22:53.790834398Z,01HVSD1J1C9YS9RAYF54ZXNR5N,2024-04-18T20:22:53.790834398Z,Round 4 / 12,2024-04-18T20:22:53.790834398Z,true,2024-04-18T20:25:27.737209314Z,true,2024-04-18T20:26:14.250630584Z
01HVSE0Q30FZCF9QQVGES4WG22,10,2024-04-18T20:22:53.792860755Z,Chat,2024-04-18T20:22:53.792860755Z,9,2024-04-18T20:22:53.792860755Z,2,2024-04-18T20:22:54.085440342Z,01HVSD1J1Q1BKW919ST5G6J03S,2024-04-18T20:22:53.792860755Z,01HVSD1J1C9YS9RAYF54ZXNR5N,2024-04-18T20:22:53.792860755Z,Round 10 / 12,2024-04-18T20:22:53.792860755Z,true,2024-04-18T20:30:15.114991561Z,true,2024-04-18T20:31:05.283881479Z
01HVSE0Q32KCW03QF2Z5DRC0ZY,12,2024-04-18T20:22:53.794170858Z,Chat,2024-04-18T20:22:53.794170858Z,11,2024-04-18T20:22:53.794170858Z,2,2024-04-18T20:22:54.069496113Z,01HVSD1J1Q1BKW919ST5G6J03S,2024-04-18T20:22:53.794170858Z,01HVSD1J1C9YS9RAYF54ZXNR5N,2024-04-18T20:22:53.794170858Z,Round 12 / 12,2024-04-18T20:22:53.794170858Z,true,2024-04-18T20:32:02.732993642Z,true,2024-04-18T20:32:53.840465178Z
01HVSE0Q33GFGSCWDRDM00P5BZ,2,2024-04-18T20:22:53.795531129Z,Chat,2024-04-18T20:22:53.795531129Z,1,2024-04-18T20:22:53.795531129Z,2,2024-04-18T20:22:54.058159304Z,01HVSD1J1Q1BKW919ST5G6J03S,2024-04-18T20:22:53.795531129Z,01HVSD1J1C9YS9RAYF54ZXNR5N,2024-04-18T20:22:53.795531129Z,Round 2 / 12,2024-04-18T20:22:53.795531129Z,true,2024-04-18T20:23:54.571138377Z,true,2024-04-18T20:24:40.400960243Z
