id,name,nameLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt
01HNDC5TGFT5N843CRMF53G9WB,Round 4 / 9,2024-01-30T14:25:39.855863627Z,Chat,2024-01-30T14:25:39.855863627Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.855863627Z,true,2024-01-30T14:27:07.497204247Z,true,2024-01-30T14:27:30.672206966Z,1,2024-01-30T14:25:39.956270193Z,4,2024-01-30T14:25:39.855863627Z,3,2024-01-30T14:25:39.855863627Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.855863627Z
01HNDC5TGK0M2QD9R209X97EJZ,Round 3 / 9,2024-01-30T14:25:39.85957264Z,Chat,2024-01-30T14:25:39.85957264Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.85957264Z,true,2024-01-30T14:26:40.400117911Z,true,2024-01-30T14:27:07.466110677Z,1,2024-01-30T14:25:39.956270193Z,3,2024-01-30T14:25:39.85957264Z,2,2024-01-30T14:25:39.85957264Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.85957264Z
01HNDC5TGP3X3D8RQECKM34KMK,Round 6 / 9,2024-01-30T14:25:39.86208826Z,Chat,2024-01-30T14:25:39.86208826Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.86208826Z,true,2024-01-30T14:27:49.286677508Z,true,2024-01-30T14:28:19.546207735Z,1,2024-01-30T14:25:39.950376375Z,6,2024-01-30T14:25:39.86208826Z,5,2024-01-30T14:25:39.86208826Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.86208826Z
01HNDC5TGRFPE68ZFZT1CP29AE,Round 7 / 9,2024-01-30T14:25:39.864238972Z,Chat,2024-01-30T14:25:39.864238972Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.864238972Z,true,2024-01-30T14:28:19.596835711Z,true,2024-01-30T14:28:32.37912904Z,1,2024-01-30T14:25:39.952614675Z,7,2024-01-30T14:25:39.864238972Z,6,2024-01-30T14:25:39.864238972Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.864238972Z
01HNDC5TGZQGBAMY63C3SNDWRD,Round 8 / 9,2024-01-30T14:25:39.871774181Z,Chat,2024-01-30T14:25:39.871774181Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.871774181Z,true,2024-01-30T14:28:32.407509384Z,true,2024-01-30T14:29:02.658131261Z,1,2024-01-30T14:25:39.92507439Z,8,2024-01-30T14:25:39.871774181Z,7,2024-01-30T14:25:39.871774181Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.871774181Z
01HNDC5TH296KW0ZMW6G8ZXCC9,Round 9 / 9,2024-01-30T14:25:39.874572581Z,Chat,2024-01-30T14:25:39.874572581Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.874572581Z,true,2024-01-30T14:29:02.715956963Z,true,2024-01-30T14:29:33.083375298Z,1,2024-01-30T14:25:39.968472428Z,9,2024-01-30T14:25:39.874572581Z,8,2024-01-30T14:25:39.874572581Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.874572581Z
01HNDC6ADXJJ065WJ84WFGQJSP,Round 1 / 9,2024-01-30T14:25:56.157692675Z,Chat,2024-01-30T14:25:56.157692675Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.157692675Z,true,2024-01-30T14:25:56.382408216Z,true,2024-01-30T14:26:26.274232956Z,1,2024-01-30T14:25:56.237392011Z,1,2024-01-30T14:25:56.157692675Z,0,2024-01-30T14:25:56.157692675Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.157692675Z
01HNDC6AE0HHFZSPMVRZH6HDYF,Round 2 / 9,2024-01-30T14:25:56.160495452Z,Chat,2024-01-30T14:25:56.160495452Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.160495452Z,true,2024-01-30T14:26:26.294756741Z,true,2024-01-30T14:26:56.445427042Z,1,2024-01-30T14:25:56.28532739Z,2,2024-01-30T14:25:56.160495452Z,1,2024-01-30T14:25:56.160495452Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.160495452Z
01HNDC6AE4YTSGST0Q3T0QW7A8,Round 3 / 9,2024-01-30T14:25:56.164839008Z,Chat,2024-01-30T14:25:56.164839008Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.164839008Z,true,2024-01-30T14:26:56.470868285Z,true,2024-01-30T14:27:22.461394686Z,1,2024-01-30T14:25:56.258706212Z,3,2024-01-30T14:25:56.164839008Z,2,2024-01-30T14:25:56.164839008Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.164839008Z
01HNDC6AE8V6CAJ7QDTDC8B3YS,Round 4 / 9,2024-01-30T14:25:56.168486996Z,Chat,2024-01-30T14:25:56.168486996Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.168486996Z,true,2024-01-30T14:27:22.485184237Z,true,2024-01-30T14:27:52.655749835Z,1,2024-01-30T14:25:56.226563935Z,4,2024-01-30T14:25:56.168486996Z,3,2024-01-30T14:25:56.168486996Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.168486996Z
01HNDC6AEJ8009H99F8FCS58QK,Round 6 / 9,2024-01-30T14:25:56.178213307Z,Chat,2024-01-30T14:25:56.178213307Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.178213307Z,true,2024-01-30T14:28:09.187539014Z,true,2024-01-30T14:28:26.287067677Z,1,2024-01-30T14:25:56.265382601Z,6,2024-01-30T14:25:56.178213307Z,5,2024-01-30T14:25:56.178213307Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.178213307Z
01HNDC6AEPC151XYJF5HB5RVC0,Round 8 / 9,2024-01-30T14:25:56.182430795Z,Chat,2024-01-30T14:25:56.182430795Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.182430795Z,true,2024-01-30T14:28:39.728876167Z,true,2024-01-30T14:28:57.133944836Z,1,2024-01-30T14:25:56.418449211Z,8,2024-01-30T14:25:56.182430795Z,7,2024-01-30T14:25:56.182430795Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.182430795Z
01HNDC6AERWQXEYAQZJM5FFDN3,Round 9 / 9,2024-01-30T14:25:56.184810788Z,Chat,2024-01-30T14:25:56.184810788Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.184810788Z,true,2024-01-30T14:28:57.173258291Z,true,2024-01-30T14:29:08.505021602Z,1,2024-01-30T14:25:56.275615094Z,9,2024-01-30T14:25:56.184810788Z,8,2024-01-30T14:25:56.184810788Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.184810788Z
01HNDC6AEWGMT76AYZS1SAZG2R,Round 7 / 9,2024-01-30T14:25:56.18809027Z,Chat,2024-01-30T14:25:56.18809027Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.18809027Z,true,2024-01-30T14:28:26.322936415Z,true,2024-01-30T14:28:39.689581027Z,1,2024-01-30T14:25:56.275615094Z,7,2024-01-30T14:25:56.18809027Z,6,2024-01-30T14:25:56.18809027Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.18809027Z
01HNDC6AF8R9ACWGQ0SDKPNEZS,Round 5 / 9,2024-01-30T14:25:56.200805608Z,Chat,2024-01-30T14:25:56.200805608Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.200805608Z,true,2024-01-30T14:27:52.685064402Z,true,2024-01-30T14:28:09.148458909Z,1,2024-01-30T14:25:56.414400933Z,5,2024-01-30T14:25:56.200805608Z,4,2024-01-30T14:25:56.200805608Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.200805608Z
01HNDC6E8MDE32F7FD98JM1AX0,Round 1 / 9,2024-01-30T14:26:00.084744041Z,Chat,2024-01-30T14:26:00.084744041Z,01HNDC2A4VNJPH4WH9V4PA3H0M,2024-01-30T14:26:00.084744041Z,true,2024-01-30T14:26:00.352605025Z,true,2024-01-30T14:26:59.201187769Z,2,2024-01-30T14:26:00.219442123Z,1,2024-01-30T14:26:00.084744041Z,0,2024-01-30T14:26:00.084744041Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:26:00.084744041Z
01HNDC6E8YXWZ0JG30G6FQS0WY,Round 6 / 9,2024-01-30T14:26:00.094795009Z,Chat,2024-01-30T14:26:00.094795009Z,01HNDC2A4VNJPH4WH9V4PA3H0M,2024-01-30T14:26:00.094795009Z,true,2024-01-30T14:30:25.52393663Z,true,2024-01-30T14:31:15.471798692Z,2,2024-01-30T14:26:00.259954875Z,6,2024-01-30T14:26:00.094795009Z,5,2024-01-30T14:26:00.094795009Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:26:00.094795009Z
01HNDC6E92QZG9SRTVXZZXYC5G,Round 7 / 9,2024-01-30T14:26:00.099044055Z,Chat,2024-01-30T14:26:00.099044055Z,01HNDC2A4VNJPH4WH9V4PA3H0M,2024-01-30T14:26:00.099044055Z,true,2024-01-30T14:31:15.613925192Z,true,2024-01-30T14:32:01.350029144Z,2,2024-01-30T14:26:00.277961476Z,7,2024-01-30T14:26:00.099044055Z,6,2024-01-30T14:26:00.099044055Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:26:00.099044055Z
01HNDC6E98GQCV3ZKK2ET09PSD,Round 8 / 9,2024-01-30T14:26:00.1041778Z,Chat,2024-01-30T14:26:00.1041778Z,01HNDC2A4VNJPH4WH9V4PA3H0M,2024-01-30T14:26:00.1041778Z,true,2024-01-30T14:32:01.492513169Z,true,2024-01-30T14:32:48.130352597Z,2,2024-01-30T14:26:00.291437248Z,8,2024-01-30T14:26:00.1041778Z,7,2024-01-30T14:26:00.1041778Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:26:00.1041778Z
01HNDC6E9B00QM6X1S11S2HGXF,Round 5 / 9,2024-01-30T14:26:00.107290211Z,Chat,2024-01-30T14:26:00.107290211Z,01HNDC2A4VNJPH4WH9V4PA3H0M,2024-01-30T14:26:00.107290211Z,true,2024-01-30T14:29:35.336504057Z,true,2024-01-30T14:30:25.463900602Z,2,2024-01-30T14:26:00.210790046Z,5,2024-01-30T14:26:00.107290211Z,4,2024-01-30T14:26:00.107290211Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:26:00.107290211Z
