id,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt
01HNDC6ASD1M8ATY6N79T9RNWP,true,2024-01-30T14:26:26.227439145Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.525733512Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.525733512Z,01HNDC6ADXJJ065WJ84WFGQJSP,2024-01-30T14:25:56.525733512Z,01HNDC6AG4BJAHJMDP3YX94MTG,2024-01-30T14:25:56.525733512Z,01HNDC2ZDVQ42CDAZ2XZ7ZMPWK,2024-01-30T14:25:56.525733512Z,10,2024-01-30T14:26:26.078640951Z
01HNDC6ASG0H0WYWS00A99WTHA,true,2024-01-30T14:26:20.462265389Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.528864839Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.528864839Z,01HNDC6ADXJJ065WJ84WFGQJSP,2024-01-30T14:25:56.528864839Z,01HNDC6AG4BJAHJMDP3YX94MTG,2024-01-30T14:25:56.528864839Z,01HNDC2EZ7BJQK05YQG6M48YGR,2024-01-30T14:25:56.528864839Z,50,2024-01-30T14:26:20.316413593Z
01HNDC6ASMGAN1T42JEQV1AM1M,true,2024-01-30T14:26:06.044605776Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.533024102Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.533024102Z,01HNDC6ADXJJ065WJ84WFGQJSP,2024-01-30T14:25:56.533024102Z,01HNDC6AG4BJAHJMDP3YX94MTG,2024-01-30T14:25:56.533024102Z,01HNDC2T1DW3BSHDKF0KNXWSPK,2024-01-30T14:25:56.533024102Z,0,2024-01-30T14:26:05.907177573Z
01HNDC6C1X80B9MYTW3QVNYCC4,true,2024-01-30T14:26:06.055554931Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:57.821997342Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:57.821997342Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:57.821997342Z,01HNDC5E9157WNA2J7TMZKPA46,2024-01-30T14:25:57.821997342Z,01HNDC3GNAB9KAM86NV8D0A83V,2024-01-30T14:25:57.821997342Z,32,2024-01-30T14:26:06.051108605Z
01HNDC6C20VRBXPACSYNT46F6W,true,2024-01-30T14:26:27.30304437Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:57.824604423Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:57.824604423Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:57.824604423Z,01HNDC5E9157WNA2J7TMZKPA46,2024-01-30T14:25:57.824604423Z,01HNDC2K7W5Z4ZZC8TF17EQJBD,2024-01-30T14:25:57.824604423Z,19,2024-01-30T14:26:27.306908534Z
01HNDC6C23N1QJQ5QJCDS99F0C,true,2024-01-30T14:26:04.819413133Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:57.827133485Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:57.827133485Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:57.827133485Z,01HNDC5E9157WNA2J7TMZKPA46,2024-01-30T14:25:57.827133485Z,01HNDC32M5XTBHKT64N7XPFFC8,2024-01-30T14:25:57.827133485Z,25,2024-01-30T14:26:04.811886231Z
01HNDC6C250PC0PF640PPNBRH6,true,2024-01-30T14:26:17.40929645Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:57.829753552Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:57.829753552Z,01HNDC5E4CTJ11JRHV0Z9P75WG,2024-01-30T14:25:57.829753552Z,01HNDC5E9157WNA2J7TMZKPA46,2024-01-30T14:25:57.829753552Z,01HNDC2JDVGZF9389F8CNRE8X3,2024-01-30T14:25:57.829753552Z,60,2024-01-30T14:26:17.40599761Z
01HNDC6E1SYG2CBJNVBQAZH4K2,true,2024-01-30T14:26:13.312418241Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:59.865062428Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:59.865062428Z,01HNDC3RW3WHQ4ETH8K6R783WZ,2024-01-30T14:25:59.865062428Z,01HNDC3S0XQBT338QEGXA4CZHD,2024-01-30T14:25:59.865062428Z,01HNDC2D2TFSMXE4B7XCE0TZ55,2024-01-30T14:25:59.865062428Z,40,2024-01-30T14:26:13.315414003Z
01HNDC6E1V2DHQYDGFMVC0QXMS,true,2024-01-30T14:26:17.567607542Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:59.867694792Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:59.867694792Z,01HNDC3RW3WHQ4ETH8K6R783WZ,2024-01-30T14:25:59.867694792Z,01HNDC3S0XQBT338QEGXA4CZHD,2024-01-30T14:25:59.867694792Z,01HNDC2FA3VYEHGW3KZ6J12D0S,2024-01-30T14:25:59.867694792Z,0,2024-01-30T14:26:17.575898752Z
01HNDC6E1XT9AJ2P7F0DGSXAVY,true,2024-01-30T14:26:18.470863066Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:59.869780386Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:59.869780386Z,01HNDC3RW3WHQ4ETH8K6R783WZ,2024-01-30T14:25:59.869780386Z,01HNDC3S0XQBT338QEGXA4CZHD,2024-01-30T14:25:59.869780386Z,01HNDC30EDNEK5D4SPK46XX8X8,2024-01-30T14:25:59.869780386Z,20,2024-01-30T14:26:18.466323864Z
