id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HWBAJKJJ15Y07407RJ5ABH2K,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.490302116Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.490302116Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.490302116Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.490302116Z,01HWBAH475G2EGG93V3TXRDPKA,2024-04-25T19:09:05.490302116Z,,,,,,
01HWBAJKJR2YQWAK2MDZ2FF3JA,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.496644029Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.496644029Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.496644029Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.496644029Z,01HWBAHG5S80H9CCFQ14YMWGPJ,2024-04-25T19:09:05.496644029Z,,,,,,
01HWBAJP41HHKJPBY1YV8TYXRT,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:08.097798841Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:08.097798841Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:09:08.097798841Z,01HWBAF6WNMHVNPGZS8Q435M8W,2024-04-25T19:09:08.097798841Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:09:08.097798841Z,75,2024-04-25T19:09:16.73591451Z,true,2024-04-25T19:09:16.736249879Z,77,2024-04-25T19:09:16.735382664Z
01HWBAJP4936Y66DAZBAPYPFH7,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:08.105206957Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:08.105206957Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:09:08.105206957Z,01HWBAF6WNMHVNPGZS8Q435M8W,2024-04-25T19:09:08.105206957Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:09:08.105206957Z,,,,,,
01HWBAJP4FX2JDA1BK48TGTNNA,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:08.111682705Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:08.111682705Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:09:08.111682705Z,01HWBAF6WNMHVNPGZS8Q435M8W,2024-04-25T19:09:08.111682705Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:09:08.111682705Z,,,,,,
01HWBAJYMMH1TKQEQHXEWAPVC0,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:16.820301541Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:16.820301541Z,01HWBAF6N8MVYAQ12996B1ACHE,2024-04-25T19:09:16.820301541Z,01HWBAF6ZZ2XHJCA35ZMXEZDKX,2024-04-25T19:09:16.820301541Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:09:16.820301541Z,,,,,,
01HWBAJYMS9JCBRKRP5XQPHYP9,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:16.826011357Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:16.826011357Z,01HWBAF6N8MVYAQ12996B1ACHE,2024-04-25T19:09:16.826011357Z,01HWBAF6ZZ2XHJCA35ZMXEZDKX,2024-04-25T19:09:16.826011357Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:09:16.826011357Z,,,,,,
01HWBAJYN0NE24E12AHWJHBV58,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:16.832670737Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:09:16.832670737Z,01HWBAF6N8MVYAQ12996B1ACHE,2024-04-25T19:09:16.832670737Z,01HWBAF6ZZ2XHJCA35ZMXEZDKX,2024-04-25T19:09:16.832670737Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:09:16.832670737Z,,,,,,
01HWBAK7ZKPJ80P2BDHE2ABW40,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.387414583Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.387414583Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.387414583Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.387414583Z,01HWBA5MRGQX7FHN61Y2K8FH83,2024-04-25T19:09:26.387414583Z,,,,,,
01HWBAK7ZS44J3ZCX41CJWC15E,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:26.393639105Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:26.393639105Z,01HWBAHNC6SY5M104TM4T6V4GF,2024-04-25T19:09:26.393639105Z,01HWBAHNPD6FC69STR9E8HS1NZ,2024-04-25T19:09:26.393639105Z,01HWBA7WEFDBN020M266RQ5D9B,2024-04-25T19:09:26.393639105Z,,,,,,
