id,roundID,roundIDLastChangedAt,batchID,batchIDLastChangedAt,timerID,timerIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt,name,nameLastChangedAt,duration,durationLastChangedAt,initialized,initializedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt
01HW694G47MEX03CFSEC490N5K,01HW694FG99NXSM4ZAFZFSH6Q2,2024-04-23T20:07:42.471582391Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.471582391Z,01HW694FNZ8DW5NP0DD2KP7JDQ,2024-04-23T20:07:42.471582391Z,true,2024-04-23T20:10:02.235783309Z,0,2024-04-23T20:07:42.471582391Z,true,2024-04-23T20:09:44.871012071Z,observe,2024-04-23T20:07:42.471582391Z,30,2024-04-23T20:07:42.471582391Z,true,2024-04-23T20:09:44.839428675Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.471582391Z,true,2024-04-23T20:09:44.741838654Z
01HW694G4PJ9SYNJVPPN5RPZRV,01HW694FGNXDEQJVX8VYN7QTTB,2024-04-23T20:07:42.486550881Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.486550881Z,01HW694FPK37Y1MQY16MGYN5QJ,2024-04-23T20:07:42.486550881Z,true,2024-04-23T20:10:18.79072674Z,0,2024-04-23T20:07:42.486550881Z,true,2024-04-23T20:10:02.989873923Z,observe,2024-04-23T20:07:42.486550881Z,30,2024-04-23T20:07:42.486550881Z,true,2024-04-23T20:10:02.920474633Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.486550881Z,true,2024-04-23T20:10:02.663474845Z
01HW694G6A4SA54QVTNWSPDPJA,01HW694FHMYNR5Y0ECKD3YN1YS,2024-04-23T20:07:42.538185031Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.538185031Z,01HW694FQ0ZM1YW9M37Z82RAS8,2024-04-23T20:07:42.538185031Z,true,2024-04-23T20:10:33.922808444Z,0,2024-04-23T20:07:42.538185031Z,true,2024-04-23T20:10:19.363423299Z,observe,2024-04-23T20:07:42.538185031Z,30,2024-04-23T20:07:42.538185031Z,true,2024-04-23T20:10:19.304363148Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.538185031Z,true,2024-04-23T20:10:19.137408497Z
01HW694G6RNCH0FB429Y662CS9,01HW694FHAZER0FK3CRFV63V0T,2024-04-23T20:07:42.5526422Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.5526422Z,01HW694FQ0ZM1YW9M37XYH5TBV,2024-04-23T20:07:42.5526422Z,true,2024-04-23T20:10:48.953485379Z,0,2024-04-23T20:07:42.5526422Z,true,2024-04-23T20:10:34.310901119Z,observe,2024-04-23T20:07:42.5526422Z,30,2024-04-23T20:07:42.5526422Z,true,2024-04-23T20:10:34.267989882Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.5526422Z,true,2024-04-23T20:10:34.167469654Z
01HW694G7NXWAX2WE1GFQMZABB,01HW694FJ0T368G2RADEP69PN5,2024-04-23T20:07:42.581186329Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.581186329Z,01HW694FQQVK7S8HHXK0Y04DY1,2024-04-23T20:07:42.581186329Z,true,2024-04-23T20:11:11.197820306Z,0,2024-04-23T20:07:42.581186329Z,true,2024-04-23T20:11:00.41060759Z,observe,2024-04-23T20:07:42.581186329Z,30,2024-04-23T20:07:42.581186329Z,true,2024-04-23T20:11:00.372530079Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.581186329Z,true,2024-04-23T20:11:00.197827132Z
01HW694G807YSEX2E4PY7WMSTY,01HW694FJC667KYADDYPW0SGR8,2024-04-23T20:07:42.592689693Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.592689693Z,01HW694FQQVK7S8HHXK23TNDA9,2024-04-23T20:07:42.592689693Z,true,2024-04-23T20:10:59.980492343Z,0,2024-04-23T20:07:42.592689693Z,true,2024-04-23T20:10:49.399690636Z,observe,2024-04-23T20:07:42.592689693Z,30,2024-04-23T20:07:42.592689693Z,true,2024-04-23T20:10:49.360649954Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.592689693Z,true,2024-04-23T20:10:49.244553743Z
01HW694G8QW79173V3JQQRH4DC,01HW694FJVVY73XS8SAZ8VZ5WA,2024-04-23T20:07:42.615548401Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.615548401Z,01HW694FS5TB3J7FBBYT5T1ZTP,2024-04-23T20:07:42.615548401Z,true,2024-04-23T20:11:20.708178317Z,0,2024-04-23T20:07:42.615548401Z,true,2024-04-23T20:11:11.579523292Z,observe,2024-04-23T20:07:42.615548401Z,30,2024-04-23T20:07:42.615548401Z,true,2024-04-23T20:11:11.541664288Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.615548401Z,true,2024-04-23T20:11:11.43442803Z
01HW694GBFFV76TXGXK8435A07,01HW694FKS70XC2JXPY3M22M9H,2024-04-23T20:07:42.70398248Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.70398248Z,01HW694FXACRMDPBKF3HAZ8RWP,2024-04-23T20:07:42.70398248Z,true,2024-04-23T20:11:30.710129929Z,0,2024-04-23T20:07:42.70398248Z,true,2024-04-23T20:11:21.098334477Z,observe,2024-04-23T20:07:42.70398248Z,30,2024-04-23T20:07:42.70398248Z,true,2024-04-23T20:11:21.060322003Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.70398248Z,true,2024-04-23T20:11:20.951389405Z
01HW699EV5QJ2G86YYN8GF0YCZ,01HW699E3GEV7N1FFW7FNWVXFQ,2024-04-23T20:10:24.997299676Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:24.997299676Z,01HW699ED1ZJ9JYMQPNNMRY6Q0,2024-04-23T20:10:24.997299676Z,true,2024-04-23T20:10:56.357413355Z,0,2024-04-23T20:10:24.997299676Z,true,2024-04-23T20:10:26.332859173Z,observe,2024-04-23T20:10:24.997299676Z,30,2024-04-23T20:10:24.997299676Z,true,2024-04-23T20:10:26.274829702Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:24.997299676Z,true,2024-04-23T20:10:26.126629137Z
01HW699EVHEHAEMDFRV07XWDJF,01HW699E43KHFCW5EK1C8P88DT,2024-04-23T20:10:25.009663855Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:25.009663855Z,01HW699EDGFJMN4ZXA7YC93RZJ,2024-04-23T20:10:25.009663855Z,true,2024-04-23T20:11:53.452890794Z,0,2024-04-23T20:10:25.009663855Z,true,2024-04-23T20:11:25.443022146Z,observe,2024-04-23T20:10:25.009663855Z,30,2024-04-23T20:10:25.009663855Z,true,2024-04-23T20:11:25.401728431Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:25.009663855Z,true,2024-04-23T20:11:25.291080244Z
01HW699EX7WSB76VX1QSPX47DW,01HW699E4JK1ZX0KED20R6CC48,2024-04-23T20:10:25.063369337Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:25.063369337Z,01HW699EDYQC9RWFGR46ENH4DD,2024-04-23T20:10:25.063369337Z,true,2024-04-23T20:12:14.8314354Z,0,2024-04-23T20:10:25.063369337Z,true,2024-04-23T20:11:53.952892387Z,observe,2024-04-23T20:10:25.063369337Z,30,2024-04-23T20:10:25.063369337Z,true,2024-04-23T20:11:53.906182516Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:25.063369337Z,true,2024-04-23T20:11:53.76767086Z
01HW699EXKV1D92Y3KXHZTQ0TE,01HW699E5DNQ46J0JZ2NR7NWZX,2024-04-23T20:10:25.075188481Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:25.075188481Z,01HW699EEBXW7Q9XE5G9CT95AS,2024-04-23T20:10:25.075188481Z,true,2024-04-23T20:12:35.390441097Z,0,2024-04-23T20:10:25.075188481Z,true,2024-04-23T20:12:15.443846538Z,observe,2024-04-23T20:10:25.075188481Z,30,2024-04-23T20:10:25.075188481Z,true,2024-04-23T20:12:15.38938804Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:25.075188481Z,true,2024-04-23T20:12:15.225322Z
01HW699EYD9JK1TKRCHMV5AK0R,01HW699E62JZQT1T7W2A6T2HNF,2024-04-23T20:10:25.101075731Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:25.101075731Z,01HW699EERAEPZR53K1BYX84HE,2024-04-23T20:10:25.101075731Z,true,2024-04-23T20:12:49.65571642Z,0,2024-04-23T20:10:25.101075731Z,true,2024-04-23T20:12:35.763907153Z,observe,2024-04-23T20:10:25.101075731Z,30,2024-04-23T20:10:25.101075731Z,true,2024-04-23T20:12:35.728411864Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:25.101075731Z,true,2024-04-23T20:12:35.618615824Z
01HW699EZ6P9JHMTHP4HW741SA,01HW699E6PX6VCXG6B9MSQQJWJ,2024-04-23T20:10:25.126725513Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:25.126725513Z,01HW699EF5BTXK8RSPD5B96CGT,2024-04-23T20:10:25.126725513Z,true,2024-04-23T20:13:19.549535816Z,0,2024-04-23T20:10:25.126725513Z,true,2024-04-23T20:13:05.095872484Z,observe,2024-04-23T20:10:25.126725513Z,30,2024-04-23T20:10:25.126725513Z,true,2024-04-23T20:13:05.039217168Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:25.126725513Z,true,2024-04-23T20:13:04.880933948Z
01HW699F0AHARRDNM9KKVF54XQ,01HW699E7ARZRFX58YJ69QG6FM,2024-04-23T20:10:25.162864221Z,01HW65RFANA2K4B7PVX0JQARZP,2024-04-23T20:10:25.162864221Z,01HW699EGTPZDV699H0B5YG2R0,2024-04-23T20:10:25.162864221Z,true,2024-04-23T20:13:04.524849332Z,0,2024-04-23T20:10:25.162864221Z,true,2024-04-23T20:12:50.044250044Z,observe,2024-04-23T20:10:25.162864221Z,30,2024-04-23T20:10:25.162864221Z,true,2024-04-23T20:12:49.996526426Z,01HW65RFAYPT0QXG3583Y3FZKT,2024-04-23T20:10:25.162864221Z,true,2024-04-23T20:12:49.89112175Z
