id,index,indexLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt,stageIndex,stageIndexLastChangedAt
01HW670BDS6B4D5S7T3FNZ1Q03,6,2024-04-23T19:30:29.433964176Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.433964176Z,Round 7 / 12,2024-04-23T19:30:29.433964176Z,Chat,2024-04-23T19:30:29.433964176Z,true,2024-04-23T19:33:45.01581115Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.433964176Z,true,2024-04-23T19:33:18.584374996Z,7,2024-04-23T19:30:29.433964176Z,1,2024-04-23T19:30:29.576579421Z
01HW670BDW8RB04AKT2MZK6A8Z,8,2024-04-23T19:30:29.436310845Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.436310845Z,Round 9 / 12,2024-04-23T19:30:29.436310845Z,Chat,2024-04-23T19:30:29.436310845Z,true,2024-04-23T19:34:45.277939Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.436310845Z,true,2024-04-23T19:34:15.167470486Z,9,2024-04-23T19:30:29.436310845Z,1,2024-04-23T19:30:29.663317051Z
01HW670BDX0QD0ZZBJF94DF4ZW,9,2024-04-23T19:30:29.437786389Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.437786389Z,Round 10 / 12,2024-04-23T19:30:29.437786389Z,Chat,2024-04-23T19:30:29.437786389Z,true,2024-04-23T19:35:15.47288851Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.437786389Z,true,2024-04-23T19:34:45.308057067Z,10,2024-04-23T19:30:29.437786389Z,1,2024-04-23T19:30:29.661915188Z
01HW670BDZ92Q66B445J4BYR5N,1,2024-04-23T19:30:29.439232256Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.439232256Z,Round 2 / 12,2024-04-23T19:30:29.439232256Z,Chat,2024-04-23T19:30:29.439232256Z,true,2024-04-23T19:31:30.093396426Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.439232256Z,true,2024-04-23T19:30:59.990105304Z,2,2024-04-23T19:30:29.439232256Z,1,2024-04-23T19:30:29.663317051Z
01HW670BE1GDPENAYCE17KWYE9,3,2024-04-23T19:30:29.441035608Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.441035608Z,Round 4 / 12,2024-04-23T19:30:29.441035608Z,Chat,2024-04-23T19:30:29.441035608Z,true,2024-04-23T19:32:22.577223073Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.441035608Z,true,2024-04-23T19:32:00.259429229Z,4,2024-04-23T19:30:29.441035608Z,1,2024-04-23T19:30:29.662680763Z
01HW670BE1GDPENAYCEK1BSZF3,7,2024-04-23T19:30:29.441661725Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.441661725Z,Round 8 / 12,2024-04-23T19:30:29.441661725Z,Chat,2024-04-23T19:30:29.441661725Z,true,2024-04-23T19:34:15.143333536Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.441661725Z,true,2024-04-23T19:33:45.027019308Z,8,2024-04-23T19:30:29.441661725Z,1,2024-04-23T19:30:29.672289655Z
01HW670BE3DBV15NDP2FFSN9WW,5,2024-04-23T19:30:29.443077463Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.443077463Z,Round 6 / 12,2024-04-23T19:30:29.443077463Z,Chat,2024-04-23T19:30:29.443077463Z,true,2024-04-23T19:33:18.571977541Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.443077463Z,true,2024-04-23T19:32:48.422670108Z,6,2024-04-23T19:30:29.443077463Z,1,2024-04-23T19:30:29.51953298Z
01HW670BE4D8B3SNJK2YSXYKCN,4,2024-04-23T19:30:29.444419073Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.444419073Z,Round 5 / 12,2024-04-23T19:30:29.444419073Z,Chat,2024-04-23T19:30:29.444419073Z,true,2024-04-23T19:32:48.401372499Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.444419073Z,true,2024-04-23T19:32:22.599413249Z,5,2024-04-23T19:30:29.444419073Z,1,2024-04-23T19:30:29.51953298Z
01HW672QBAJM00ADQZDPJWHSJ1,2,2024-04-23T19:31:47.178899478Z,01HW66X1WQ63ZYBPASSX8CX6RE,2024-04-23T19:31:47.178899478Z,Round 3 / 12,2024-04-23T19:31:47.178899478Z,Chat,2024-04-23T19:31:47.178899478Z,true,2024-04-23T19:33:18.051384525Z,01HW66X1X0WRHZ2Q4JVN1M93SC,2024-04-23T19:31:47.178899478Z,true,2024-04-23T19:32:47.961294532Z,3,2024-04-23T19:31:47.178899478Z,1,2024-04-23T19:31:47.273941796Z
01HW672QBBXDMH21Z0SM6Q5M6V,1,2024-04-23T19:31:47.180039337Z,01HW66X1WQ63ZYBPASSX8CX6RE,2024-04-23T19:31:47.180039337Z,Round 2 / 12,2024-04-23T19:31:47.180039337Z,Chat,2024-04-23T19:31:47.180039337Z,true,2024-04-23T19:32:47.909096383Z,01HW66X1X0WRHZ2Q4JVN1M93SC,2024-04-23T19:31:47.180039337Z,true,2024-04-23T19:32:17.683864117Z,2,2024-04-23T19:31:47.180039337Z,1,2024-04-23T19:31:47.401899146Z
