id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGJ8X9M6SW7FQMB1W82Q5W8S,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:08:36.102089328Z,24,2025-01-02T01:08:46.716116765Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:08:36.102089328Z,39,2025-01-02T01:08:46.714412659Z,01JGJ8FGEKNEMV6BVYQ46ASE3B,2025-01-02T01:08:36.102089328Z,01JGJ8SNN6YNGVP15AJ4F613NQ,2025-01-02T01:08:36.102089328Z,01JGJ8SNTGKFNJJSZ1GHFY15AW,2025-01-02T01:08:36.102089328Z,true,2025-01-02T01:08:46.72206172Z
01JGJ9GDC567XMNAN00PSD0TK6,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:19:02.533156385Z,31,2025-01-02T01:19:29.990051712Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:19:02.533156385Z,12,2025-01-02T01:19:29.983800945Z,01JGJ94QTAFRADNWKFYSRWV34E,2025-01-02T01:19:02.533156385Z,01JGJ9BGY4N0Y0DZH7SX36AVQE,2025-01-02T01:19:02.533156385Z,01JGJ9BGZHZQ9QSW5B92FAT056,2025-01-02T01:19:02.533156385Z,true,2025-01-02T01:19:29.989213581Z
01JGJ9GDC2CPWHVFAFGPFXTY0D,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:19:02.530355914Z,71,2025-01-02T01:19:08.986660519Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:19:02.530355914Z,18,2025-01-02T01:19:08.988604398Z,01JGJ948GC4NV6SASK3X2XH9YW,2025-01-02T01:19:02.530355914Z,01JGJ9BGY4N0Y0DZH7SX36AVQE,2025-01-02T01:19:02.530355914Z,01JGJ9BGZHZQ9QSW5B92FAT056,2025-01-02T01:19:02.530355914Z,true,2025-01-02T01:19:08.990436083Z
01JGJ9N8F2VASK63GTXSF31JXF,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:21:41.346029472Z,51,2025-01-02T01:22:05.357292258Z,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:21:41.346029472Z,51,2025-01-02T01:22:05.356324621Z,01JGJ95VP8S41R8FP9T3C9KW7N,2025-01-02T01:21:41.346029472Z,01JGJ9E65EJ30RTE5BABHDXGSY,2025-01-02T01:21:41.346029472Z,01JGJ9E66FJJCDS0KPP4JBE75W,2025-01-02T01:21:41.346029472Z,true,2025-01-02T01:22:05.355185568Z
01JGJ9F3SEAYZBBKH2PSRCAQG0,01JGJ91WNR8EKXWD9252M85KH6,2025-01-02T01:18:19.950355748Z,,,01JGJ91WNX5F13GKCWNVF2J9RJ,2025-01-02T01:18:19.950355748Z,,,01JGJ97WYSVBVNK284VS5XMK3S,2025-01-02T01:18:19.950355748Z,01JGJ9E65B4XGAAF0TXPZHW1H8,2025-01-02T01:18:19.950355748Z,01JGJ9E684WJ0NXFGRERJ5K8XM,2025-01-02T01:18:19.950355748Z,,
01JGJ9KZS3F7N9CCX76QM4DP14,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:20:59.683895975Z,100,2025-01-02T01:21:07.0316953Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:20:59.683895975Z,80,2025-01-02T01:21:07.032892537Z,01JGJ94W25ZX0N4A835SNRV4AZ,2025-01-02T01:20:59.683895975Z,01JGJ9BGY5X7VAGHYRMA6CZV8X,2025-01-02T01:20:59.683895975Z,01JGJ9BH0W889V5Q4F173R5R67,2025-01-02T01:20:59.683895975Z,true,2025-01-02T01:21:07.03407739Z
01JGJ8VGP9DHP6S0A90QYY5GAW,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:07:37.801835028Z,100,2025-01-02T01:07:47.124984222Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:07:37.801835028Z,100,2025-01-02T01:07:47.126017893Z,01JGJ8FGEKNEMV6BVYQ46ASE3B,2025-01-02T01:07:37.801835028Z,01JGJ8SNN5KWVQ3EPBJQ0HWT6E,2025-01-02T01:07:37.801835028Z,01JGJ8SNTR1YZP5WC2TPZR6ZBS,2025-01-02T01:07:37.801835028Z,true,2025-01-02T01:07:47.130999752Z
01JGJ8ZGERWEDPCK3QYXSQTGYN,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:09:48.632520933Z,,,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:09:48.632520933Z,,,01JGJ8NDJE69WXDGNEW1G7YDMZ,2025-01-02T01:09:48.632520933Z,01JGJ8SNNCEQRJ9J2XP1AT1M6F,2025-01-02T01:09:48.632520933Z,01JGJ8SNQPDV7JJ4GEM6R62Z34,2025-01-02T01:09:48.632520933Z,,
01JGJ95GJ6EHK9K77FPDS1C65M,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:13:05.350914185Z,83,2025-01-02T01:13:11.46752081Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:13:05.350914185Z,75,2025-01-02T01:13:11.454095984Z,01JGJ8NP5VXXT2KXEA8CTWEJZZ,2025-01-02T01:13:05.350914185Z,01JGJ8SNNA51WEBFKCTD33DTZJ,2025-01-02T01:13:05.350914185Z,01JGJ8SNTBHV3ZRF0NX1E9XVWJ,2025-01-02T01:13:05.350914185Z,true,2025-01-02T01:13:11.48123783Z
01JGJ978JVGKVQ2XJY14PECF6D,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:14:02.715092895Z,57,2025-01-02T01:14:30.24388607Z,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:14:02.715092895Z,9,2025-01-02T01:14:30.243345531Z,01JGJ8EG842FDVC5C0YTD0YVCT,2025-01-02T01:14:02.715092895Z,01JGJ8SNNCEQRJ9J2XPM3W8A3C,2025-01-02T01:14:02.715092895Z,01JGJ8SNQYMASHDJ0YJ6XH1Q07,2025-01-02T01:14:02.715092895Z,true,2025-01-02T01:14:30.244428781Z
