id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HNDBEYBW398S6DQNNNE5CPZS,01HNDBB5WW8N0VB82NM9X652WS,2024-01-30T14:13:10.14076184Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:13:10.14076184Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:10.14076184Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:10.14076184Z,01HNDBB5VTR06F4501JTD9YYJW,2024-01-30T14:13:10.14076184Z,19,2024-01-30T14:13:23.408334673Z,true,2024-01-30T14:13:23.424253402Z
01HNDBEYBXRKFDPEBSAV58J58R,01HNDBB5WW8N0VB82NM9X652WS,2024-01-30T14:13:10.14179943Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:13:10.14179943Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:10.14179943Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:10.14179943Z,01HNDBB5VTR06F4501JTD9YYJW,2024-01-30T14:13:10.14179943Z,5,2024-01-30T14:13:29.55039864Z,true,2024-01-30T14:13:29.552868368Z
01HNDBEYBZSB5WD1M2KRCZQ4A2,01HNDBB5WW8N0VB82NM9X652WS,2024-01-30T14:13:10.143310406Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:13:10.143310406Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:10.143310406Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:10.143310406Z,01HNDBB5VTR06F4501JTD9YYJW,2024-01-30T14:13:10.143310406Z,0,2024-01-30T14:13:13.36533022Z,true,2024-01-30T14:13:13.54052682Z
01HNDBEYC06QDCQV32VRY2MDMF,01HNDBB5WW8N0VB82NM9X652WS,2024-01-30T14:13:10.144153314Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:13:10.144153314Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:10.144153314Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:10.144153314Z,01HNDBB5VTR06F4501JTD9YYJW,2024-01-30T14:13:10.144153314Z,0,2024-01-30T14:13:13.810214597Z,true,2024-01-30T14:13:13.812669587Z
01HNDBF0F6KTFPRJ11PN8BS2DB,01HNDBF070WSPBEH9RQ821PRPH,2024-01-30T14:13:12.294738148Z,01HNDB7M8Y6J4MSBAEXKPBE52C,2024-01-30T14:13:12.294738148Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:12.294738148Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:12.294738148Z,01HNDBF055CD3V7GN21V8FM9Y0,2024-01-30T14:13:12.294738148Z,,,,
01HNDBF0F7MJPCSYGR74VH3AY4,01HNDBF070WSPBEH9RQ821PRPH,2024-01-30T14:13:12.295734874Z,01HNDBA9G4GH1RKT6Z9GDAG8W8,2024-01-30T14:13:12.295734874Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:12.295734874Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:12.295734874Z,01HNDBF055CD3V7GN21V8FM9Y0,2024-01-30T14:13:12.295734874Z,0,2024-01-30T14:13:21.803483744Z,true,2024-01-30T14:13:21.987947286Z
01HNDBF0F90TZSXBWG60VJTVF8,01HNDBF070WSPBEH9RQ821PRPH,2024-01-30T14:13:12.29730308Z,01HNDB913QZHG1VEDN317EXRMK,2024-01-30T14:13:12.29730308Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:12.29730308Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:12.29730308Z,01HNDBF055CD3V7GN21V8FM9Y0,2024-01-30T14:13:12.29730308Z,15,2024-01-30T14:13:33.454558451Z,true,2024-01-30T14:13:33.464235225Z
01HNDBF0FAXQKC9KBVY5K0AZGD,01HNDBF070WSPBEH9RQ821PRPH,2024-01-30T14:13:12.298884799Z,01HNDB92QFC2MQXDVH505RNN81,2024-01-30T14:13:12.298884799Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:12.298884799Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:12.298884799Z,01HNDBF055CD3V7GN21V8FM9Y0,2024-01-30T14:13:12.298884799Z,,,,
01HNDBFXVZXCM0P9BZYGH5GGGZ,01HNDBF0ADE62GGD86JMW7ESZ6,2024-01-30T14:13:42.399539495Z,01HNDB913QZHG1VEDN317EXRMK,2024-01-30T14:13:42.399539495Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:42.399539495Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:42.399539495Z,01HNDBF058KTYC2X3FWN0KKVKG,2024-01-30T14:13:42.399539495Z,15,2024-01-30T14:14:00.154188379Z,true,2024-01-30T14:14:00.157230016Z
01HNDBFXW0BX6STXYT2PNTYTE0,01HNDBF0ADE62GGD86JMW7ESZ6,2024-01-30T14:13:42.400875337Z,01HNDB92QFC2MQXDVH505RNN81,2024-01-30T14:13:42.400875337Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:13:42.400875337Z,01HNDB3XTQF66NKEQ7HBCBY9BJ,2024-01-30T14:13:42.400875337Z,01HNDBF058KTYC2X3FWN0KKVKG,2024-01-30T14:13:42.400875337Z,30,2024-01-30T14:13:50.279257869Z,true,2024-01-30T14:13:50.282086002Z
