id,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,idx,idxLastChangedAt,gameID,gameIDLastChangedAt
01HWDQ4ZN3GZEHGD450TWD5B28,2,2024-04-26T17:27:19.734189309Z,Round 10 / 12,2024-04-26T17:27:19.459338192Z,Chat,2024-04-26T17:27:19.459338192Z,9,2024-04-26T17:27:19.459338192Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.459338192Z,true,2024-04-26T17:34:37.587905409Z,true,2024-04-26T17:35:17.747547992Z,10,2024-04-26T17:27:19.459338192Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.459338192Z
01HWDQD1GXNCV7YRYQ63BDXWKH,2,2024-04-26T17:31:43.831781315Z,Round 1 / 12,2024-04-26T17:31:43.517714682Z,Chat,2024-04-26T17:31:43.517714682Z,0,2024-04-26T17:31:43.517714682Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.517714682Z,true,2024-04-26T17:31:43.903233738Z,true,2024-04-26T17:32:44.555533433Z,1,2024-04-26T17:31:43.517714682Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.517714682Z
01HWDQD1H0X14AC944NJ5TK3Q1,2,2024-04-26T17:31:43.712107806Z,Round 3 / 12,2024-04-26T17:31:43.520819813Z,Chat,2024-04-26T17:31:43.520819813Z,2,2024-04-26T17:31:43.520819813Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.520819813Z,true,2024-04-26T17:33:32.282500708Z,true,2024-04-26T17:34:23.413497225Z,3,2024-04-26T17:31:43.520819813Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.520819813Z
01HWDQD1H34RQ1WCEMR23VHETP,2,2024-04-26T17:31:43.805784903Z,Round 2 / 12,2024-04-26T17:31:43.523134482Z,Chat,2024-04-26T17:31:43.523134482Z,1,2024-04-26T17:31:43.523134482Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.523134482Z,true,2024-04-26T17:32:44.586808971Z,true,2024-04-26T17:33:32.242604956Z,2,2024-04-26T17:31:43.523134482Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.523134482Z
01HWDQD1H7D78GDWZSPMR9E854,2,2024-04-26T17:31:43.930036221Z,Round 4 / 12,2024-04-26T17:31:43.527055072Z,Chat,2024-04-26T17:31:43.527055072Z,3,2024-04-26T17:31:43.527055072Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.527055072Z,true,2024-04-26T17:34:23.435519471Z,true,2024-04-26T17:35:09.240924245Z,4,2024-04-26T17:31:43.527055072Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.527055072Z
01HWDQD1HA4ANYPT12M3ZWM39F,2,2024-04-26T17:31:43.917084579Z,Round 5 / 12,2024-04-26T17:31:43.530123553Z,Chat,2024-04-26T17:31:43.530123553Z,4,2024-04-26T17:31:43.530123553Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.530123553Z,true,2024-04-26T17:35:09.267390375Z,true,2024-04-26T17:36:02.584566247Z,5,2024-04-26T17:31:43.530123553Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.530123553Z
01HWDQD1HD77NSNGG1Q2MDAYJ2,2,2024-04-26T17:31:43.868464054Z,Round 7 / 12,2024-04-26T17:31:43.533709578Z,Chat,2024-04-26T17:31:43.533709578Z,6,2024-04-26T17:31:43.533709578Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.533709578Z,true,2024-04-26T17:36:47.456969574Z,true,2024-04-26T17:37:35.399929313Z,7,2024-04-26T17:31:43.533709578Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.533709578Z
01HWDQD1HH21W74T0C52WTES9K,2,2024-04-26T17:31:43.932100294Z,Round 6 / 12,2024-04-26T17:31:43.537799861Z,Chat,2024-04-26T17:31:43.537799861Z,5,2024-04-26T17:31:43.537799861Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.537799861Z,true,2024-04-26T17:36:02.659300344Z,true,2024-04-26T17:36:47.42402364Z,6,2024-04-26T17:31:43.537799861Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.537799861Z
01HWDQD1HNP0BAFEDN0XPNSEK6,2,2024-04-26T17:31:43.917084579Z,Round 9 / 12,2024-04-26T17:31:43.541796075Z,Chat,2024-04-26T17:31:43.541796075Z,8,2024-04-26T17:31:43.541796075Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.541796075Z,true,2024-04-26T17:38:18.734570876Z,true,2024-04-26T17:39:09.383269635Z,9,2024-04-26T17:31:43.541796075Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.541796075Z
01HWDQD1HR8WQTVHJ1Y9A20SMS,2,2024-04-26T17:31:43.73350121Z,Round 10 / 12,2024-04-26T17:31:43.544388813Z,Chat,2024-04-26T17:31:43.544388813Z,9,2024-04-26T17:31:43.544388813Z,01HWDP6MSNBT7TGZZ7344GHN1A,2024-04-26T17:31:43.544388813Z,true,2024-04-26T17:39:09.438664831Z,true,2024-04-26T17:40:03.823595253Z,10,2024-04-26T17:31:43.544388813Z,01HWDP6MT76GJHYQ3ZNSA34G9K,2024-04-26T17:31:43.544388813Z
