id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HWDPWHQAQW4NH8DWN2K604SM,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:43.050157195Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:43.050157195Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:43.050157195Z,01HWDPPRBAWB1BY3C2WEV1WR9X,2024-04-26T17:22:43.050157195Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:22:43.050157195Z,true,2024-04-26T17:22:54.072963278Z,89,2024-04-26T17:22:53.897760842Z,10,2024-04-26T17:22:53.895870519Z
01HWDPWXEWG0E529M1EAJ25GDG,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:55.068730364Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:55.068730364Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:22:55.068730364Z,01HWDPPRB6TJTKJ33D6ACR8N0B,2024-04-26T17:22:55.068730364Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:22:55.068730364Z,,,,,,
01HWDPWXF57MBB4GR0H57P0PVE,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:55.077265674Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:55.077265674Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:22:55.077265674Z,01HWDPPRB6TJTKJ33D6ACR8N0B,2024-04-26T17:22:55.077265674Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:22:55.077265674Z,,,,,,
01HWDPWXFCGAJ5T9XA85JBWPHW,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:55.084894085Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:55.084894085Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:22:55.084894085Z,01HWDPPRB6TJTKJ33D6ACR8N0B,2024-04-26T17:22:55.084894085Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:22:55.084894085Z,,,,,,
01HWDPWXFM7YMR66ZXCZWCQ1G0,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:55.092224044Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:55.092224044Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:22:55.092224044Z,01HWDPPRB6TJTKJ33D6ACR8N0B,2024-04-26T17:22:55.092224044Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:22:55.092224044Z,,,,,,
01HWDPX9CAMEMTPS9AV4T7M61Q,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:07.274528662Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:07.274528662Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:07.274528662Z,01HWDPX8SGV7PPMJ3HE1JQT15R,2024-04-26T17:23:07.274528662Z,01HWDPJTZD33DHCRYYMJNAF1WW,2024-04-26T17:23:07.274528662Z,,,,,,
01HWDPX9CGGAVQXNNP7XBY6VE3,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:07.280592198Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:07.280592198Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:07.280592198Z,01HWDPX8SGV7PPMJ3HE1JQT15R,2024-04-26T17:23:07.280592198Z,01HWDPMJXT0DSFHR062ZN357Q1,2024-04-26T17:23:07.280592198Z,,,,,,
01HWDPX9CPYANNDAK7N8ATMP3N,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:07.286211663Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:07.286211663Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:07.286211663Z,01HWDPX8SGV7PPMJ3HE1JQT15R,2024-04-26T17:23:07.286211663Z,01HWDPRJVW83N44JFVSA3J5HTY,2024-04-26T17:23:07.286211663Z,,,,,,
01HWDPX9CV7R9C21BEXWS5K8ZZ,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:07.291897266Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:07.291897266Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:07.291897266Z,01HWDPX8SGV7PPMJ3HE1JQT15R,2024-04-26T17:23:07.291897266Z,01HWDPSGQWRP9NBEQ3DQX4ZZWW,2024-04-26T17:23:07.291897266Z,,,,,,
01HWDPXTTTH8C2B9QVKDAJ1BYB,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:23:25.146745052Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:23:25.146745052Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:23:25.146745052Z,01HWDPPRB9YGTCJXCHH8J6K2GR,2024-04-26T17:23:25.146745052Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:23:25.146745052Z,true,2024-04-26T17:23:33.741079613Z,55,2024-04-26T17:23:33.740107872Z,24,2024-04-26T17:23:33.737147195Z
01HWDPXTV26H8R9ARN347XGNEQ,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:23:25.154069756Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:23:25.154069756Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:23:25.154069756Z,01HWDPPRB9YGTCJXCHH8J6K2GR,2024-04-26T17:23:25.154069756Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:23:25.154069756Z,true,2024-04-26T17:23:40.049155315Z,96,2024-04-26T17:23:40.055933596Z,75,2024-04-26T17:23:40.080016702Z
01HWDPXTV9FQNSW32QMXM2B5HF,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:23:25.161858929Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:23:25.161858929Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:23:25.161858929Z,01HWDPPRB9YGTCJXCHH8J6K2GR,2024-04-26T17:23:25.161858929Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:23:25.161858929Z,true,2024-04-26T17:23:43.480294441Z,88,2024-04-26T17:23:43.478810201Z,27,2024-04-26T17:23:43.477384001Z
01HWDPXTVFY84SF1N455HXYF2R,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:23:25.167985078Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:23:25.167985078Z,01HWDPPQZJ48XCBF7YJBQ55EJ2,2024-04-26T17:23:25.167985078Z,01HWDPPRB9YGTCJXCHH8J6K2GR,2024-04-26T17:23:25.167985078Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:23:25.167985078Z,true,2024-04-26T17:23:43.446727832Z,74,2024-04-26T17:23:43.274092841Z,23,2024-04-26T17:23:43.272537946Z
01HWDPY6S0JH2ABR9A5758ZJYD,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:37.376268736Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:37.376268736Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:37.376268736Z,01HWDPX8SJ8KB7SRPVS15B7731,2024-04-26T17:23:37.376268736Z,01HWDPJTZD33DHCRYYMJNAF1WW,2024-04-26T17:23:37.376268736Z,,,,,,
01HWDPY6SH1KKFRA7ERAA4HVBK,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:37.393346631Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:37.393346631Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:37.393346631Z,01HWDPX8SJ8KB7SRPVS15B7731,2024-04-26T17:23:37.393346631Z,01HWDPMJXT0DSFHR062ZN357Q1,2024-04-26T17:23:37.393346631Z,true,2024-04-26T17:24:06.111136132Z,51,2024-04-26T17:24:06.108137428Z,49,2024-04-26T17:24:06.109805477Z
01HWDPY6T4DHJGKJ0D2PRK9RHN,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:37.412684019Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:37.412684019Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:37.412684019Z,01HWDPX8SJ8KB7SRPVS15B7731,2024-04-26T17:23:37.412684019Z,01HWDPRJVW83N44JFVSA3J5HTY,2024-04-26T17:23:37.412684019Z,true,2024-04-26T17:23:53.986651756Z,87,2024-04-26T17:23:53.981918623Z,30,2024-04-26T17:23:53.983916715Z
01HWDPY6TE2WP2MJ89S1VXJBP6,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:37.422305514Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:37.422305514Z,01HWDPX8MCP4MCXMQWH7W8FG1Y,2024-04-26T17:23:37.422305514Z,01HWDPX8SJ8KB7SRPVS15B7731,2024-04-26T17:23:37.422305514Z,01HWDPSGQWRP9NBEQ3DQX4ZZWW,2024-04-26T17:23:37.422305514Z,true,2024-04-26T17:23:56.5230646Z,73,2024-04-26T17:23:56.48988138Z,31,2024-04-26T17:23:56.488791937Z
01HWDPYCTXYRCVA8SY2DY70DD0,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:23:43.581368242Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:23:43.581368242Z,01HWDPPQZKPP3MC3NHBN7T5WB7,2024-04-26T17:23:43.581368242Z,01HWDPPRB6TJTKJ33D5NS5C814,2024-04-26T17:23:43.581368242Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:23:43.581368242Z,,,,,,
