id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGQ11VTJMS9NZPXC1DY326Y0,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:27:29.362497059Z,100,2025-01-03T21:27:40.477285029Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:27:29.362497059Z,13,2025-01-03T21:27:40.474957655Z,01JGQ0F2Q1BGAXWC42W1W362R7,2025-01-03T21:27:29.362497059Z,01JGQ0X95GD32YNB7VFN5C9K62,2025-01-03T21:27:29.362497059Z,01JGQ0X9BJGFDWTR467B2THXHV,2025-01-03T21:27:29.362497059Z,true,2025-01-03T21:27:40.517418999Z
01JGQ168RBG50XNWTCDDZYANZC,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:29:53.675121227Z,79,2025-01-03T21:30:16.911717859Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:29:53.675121227Z,0,2025-01-03T21:30:16.909461027Z,01JGQ0E65PV4KS9CA6CGT3DF26,2025-01-03T21:29:53.675121227Z,01JGQ12QV1D8X86VEKZ43VMG0A,2025-01-03T21:29:53.675121227Z,01JGQ12QXMXWYW56RC0R24BMNG,2025-01-03T21:29:53.675121227Z,true,2025-01-03T21:30:09.956164824Z
01JGQ0C8W5J3E3NHW5WVN9SYWJ,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:15:41.829208034Z,78,2025-01-03T21:15:48.161086913Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:15:41.829208034Z,18,2025-01-03T21:15:48.157454127Z,01JGQ020PJTA07HKQR510T275H,2025-01-03T21:15:41.829208034Z,01JGQ04X8PF0AECJ9K9V6BH359,2025-01-03T21:15:41.829208034Z,01JGQ04XFT6R1V0PCP4Y6WGE87,2025-01-03T21:15:41.829208034Z,true,2025-01-03T21:15:48.163574806Z
01JGQ0Q5GESEFT659WDN4KDR1J,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:21:38.831031285Z,,,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:21:38.831031285Z,,,01JGPZE8KQCCXZMCJ3YT3TTZKX,2025-01-03T21:21:38.831031285Z,01JGQ0Q5553HHE1ZB41E7093YF,2025-01-03T21:21:38.831031285Z,01JGQ0Q58221NYNK9C3EEVK412,2025-01-03T21:21:38.831031285Z,,
01JGQ188C1JV5GNE1TKHWAZDXR,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:30:58.817051558Z,75,2025-01-03T21:31:08.879180085Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:30:58.817051558Z,88,2025-01-03T21:31:08.876955493Z,01JGQ0GCQT83E3WEE7375T4F10,2025-01-03T21:30:58.817051558Z,01JGQ12QVBVKFV22PP9BKJKTA3,2025-01-03T21:30:58.817051558Z,01JGQ12R1KXDFGX26FPTZJ0S5K,2025-01-03T21:30:58.817051558Z,true,2025-01-03T21:31:08.888068098Z
01JGQ22GR1AFZXJA0XXK3HE1AG,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:45:19.361421437Z,62,2025-01-03T21:45:33.399093503Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:45:19.361421437Z,76,2025-01-03T21:45:33.394942902Z,01JGQ1JNN4QJ8XEMDXHPYNSQFZ,2025-01-03T21:45:19.361421437Z,01JGQ1YW2JTVM6T0N8XH897AS9,2025-01-03T21:45:19.361421437Z,01JGQ1YW6BANJA8RD2EECRK4WH,2025-01-03T21:45:19.361421437Z,true,2025-01-03T21:45:33.411278829Z
01JGQ0BBF04DNC2NWRYYWH4VZ7,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:15:11.712054039Z,,,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:15:11.712054039Z,,,01JGPZRZ4ZQDHG4XA5BZMF8KRX,2025-01-03T21:15:11.712054039Z,01JGQ04X8RCSCJMGQRWQTNW713,2025-01-03T21:15:11.712054039Z,01JGQ04XATFBPVQBXX123ZVVMD,2025-01-03T21:15:11.712054039Z,,
01JGQ0TRYR7AK1AYE9DVXXFHET,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:23:37.048472271Z,,,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:23:37.048472271Z,,,01JGPZXD6JBA8GN43DTG1XJEMW,2025-01-03T21:23:37.048472271Z,01JGQ0Q558KT28R6KVPSTKTBKD,2025-01-03T21:23:37.048472271Z,01JGQ0Q57AY9403Q6CFFX54D6J,2025-01-03T21:23:37.048472271Z,,
01JGQ0YWG4BMJV7W0QAKB0VZZS,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:25:51.748355942Z,34,2025-01-03T21:26:01.478911441Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:25:51.748355942Z,50,2025-01-03T21:26:01.474426504Z,01JGQ0JBDKZKSRNR14D9DNV3KC,2025-01-03T21:25:51.748355942Z,01JGQ0X95Q15GZQNNAAAVFJ3JS,2025-01-03T21:25:51.748355942Z,01JGQ0X98VN2EY2JBPCVADTQR7,2025-01-03T21:25:51.748355942Z,true,2025-01-03T21:26:01.47642176Z
01JGQ0ZH4DGWGJ1PZ8GAFR067X,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:26:12.877906365Z,30,2025-01-03T21:26:25.130085053Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:26:12.877906365Z,65,2025-01-03T21:26:25.127747134Z,01JGQ0JBDKZKSRNR14D9DNV3KC,2025-01-03T21:26:12.877906365Z,01JGQ0X95KJJ17QR7XPETRDYWE,2025-01-03T21:26:12.877906365Z,01JGQ0X98MTVJ8R684EXTNPNQQ,2025-01-03T21:26:12.877906365Z,true,2025-01-03T21:26:25.137323957Z
