id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW66XWYJ3F0SNNA02CF363CD,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:09.074475704Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:09.074475704Z,01HW66XWHS928K8Y6ZQKRX4W5T,2024-04-23T19:29:09.074475704Z,01HW66XWKX6DPNZ909VWJYKP4K,2024-04-23T19:29:09.074475704Z,01HW66R64537DHDTFX2QARBASA,2024-04-23T19:29:09.074475704Z,32,2024-04-23T19:29:31.360376329Z,100,2024-04-23T19:29:31.358997822Z,true,2024-04-23T19:29:31.363923098Z
01HW66XWYPXDPQJ050BDA268ES,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:09.078104536Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:09.078104536Z,01HW66XWHS928K8Y6ZQKRX4W5T,2024-04-23T19:29:09.078104536Z,01HW66XWKX6DPNZ909VWJYKP4K,2024-04-23T19:29:09.078104536Z,01HW66R7XQ2J7FBKA7HNWDTAWK,2024-04-23T19:29:09.078104536Z,79,2024-04-23T19:29:23.685946089Z,78,2024-04-23T19:29:23.69354302Z,true,2024-04-23T19:29:23.855437128Z
01HW66Y6AAXCPQXG74J9YZCQQA,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:18.666302981Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:18.666302981Z,01HW66S29DJ0JJM8JFQ4XHJMZJ,2024-04-23T19:29:18.666302981Z,01HW66S2C7C4CE1NBTVNT28DAS,2024-04-23T19:29:18.666302981Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:29:18.666302981Z,,,,,,
01HW66Y6AF1VFEAD357Y4JS81D,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:18.671978071Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:18.671978071Z,01HW66S29DJ0JJM8JFQ4XHJMZJ,2024-04-23T19:29:18.671978071Z,01HW66S2C7C4CE1NBTVNT28DAS,2024-04-23T19:29:18.671978071Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:29:18.671978071Z,62,2024-04-23T19:29:26.857876382Z,73,2024-04-23T19:29:26.859537105Z,true,2024-04-23T19:29:26.868002138Z
01HW66Y6ANME6RAYQKJQ4KZW3F,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:18.677365333Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:18.677365333Z,01HW66S29DJ0JJM8JFQ4XHJMZJ,2024-04-23T19:29:18.677365333Z,01HW66S2C7C4CE1NBTVNT28DAS,2024-04-23T19:29:18.677365333Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:29:18.677365333Z,71,2024-04-23T19:29:33.220902259Z,89,2024-04-23T19:29:33.222764816Z,true,2024-04-23T19:29:33.226548344Z
01HW66Y6AWKP0W2V07C29BKF40,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:18.684061116Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:18.684061116Z,01HW66S29DJ0JJM8JFQ4XHJMZJ,2024-04-23T19:29:18.684061116Z,01HW66S2C7C4CE1NBTVNT28DAS,2024-04-23T19:29:18.684061116Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:29:18.684061116Z,69,2024-04-23T19:29:26.458727837Z,69,2024-04-23T19:29:26.455547734Z,true,2024-04-23T19:29:26.463887006Z
01HW66YMKYQ17X1PZ4M2C4EBT4,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:33.3101558Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:33.3101558Z,01HW66S29E6DGBKTTVT8QJT7JJ,2024-04-23T19:29:33.3101558Z,01HW66S2GNXMZRDXK9TBSS5SEC,2024-04-23T19:29:33.3101558Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:29:33.3101558Z,,,,,,
01HW66YMM39408GB63Z3BG21V8,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:33.315479038Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:33.315479038Z,01HW66S29E6DGBKTTVT8QJT7JJ,2024-04-23T19:29:33.315479038Z,01HW66S2GNXMZRDXK9TBSS5SEC,2024-04-23T19:29:33.315479038Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:29:33.315479038Z,68,2024-04-23T19:29:42.227122692Z,70,2024-04-23T19:29:42.234949675Z,true,2024-04-23T19:29:42.237998163Z
01HW66YMM8K2EFZ3GBG34PT8ZA,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:33.320672516Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:33.320672516Z,01HW66S29E6DGBKTTVT8QJT7JJ,2024-04-23T19:29:33.320672516Z,01HW66S2GNXMZRDXK9TBSS5SEC,2024-04-23T19:29:33.320672516Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:29:33.320672516Z,73,2024-04-23T19:29:45.142012915Z,85,2024-04-23T19:29:45.142730941Z,true,2024-04-23T19:29:45.147512276Z
01HW66YMMF1NW9N9AQSQD95R1F,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:33.327709764Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:33.327709764Z,01HW66S29E6DGBKTTVT8QJT7JJ,2024-04-23T19:29:33.327709764Z,01HW66S2GNXMZRDXK9TBSS5SEC,2024-04-23T19:29:33.327709764Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:29:33.327709764Z,70,2024-04-23T19:29:47.678644666Z,57,2024-04-23T19:29:47.684015604Z,true,2024-04-23T19:29:47.680216471Z
